Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Glover Teixeira,Jan Blachowicz,0,0,23,28,2,0,2,0,Light Heavyweight,SUB,Rear Naked Choke,2,3:02
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Petr Yan,Cory Sandhagen,1,0,149,169,0,1,1,0,Bantamweight,U-DEC,,5,5:00
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Islam Makhachev,Dan Hooker,0,0,2,4,1,0,2,0,Lightweight,SUB,Kimura,1,2:25
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Alexander Volkov,Marcin Tybura,0,0,75,58,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Khamzat Chimaev,Li Jingliang,0,0,25,0,1,0,3,0,Welterweight,SUB,Rear Naked Choke,1,3:16
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Magomed Ankalaev,Volkan Oezdemir,1,0,66,48,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Amanda Ribas,Virna Jandiroba,0,1,88,50,1,1,1,0,Women's Strawweight,U-DEC,,3,5:00
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Zubaira Tukhugov,Ricardo Ramos,0,0,77,68,2,0,0,0,Featherweight,U-DEC,,3,5:00
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Albert Duraev,Roman Kopylov,0,1,71,42,1,1,1,0,Middleweight,U-DEC,,3,5:00
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Elizeu Zaleski dos Santos,Benoit Saint Denis,0,0,149,67,0,2,0,0,Welterweight,U-DEC,,3,5:00
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Michal Oleksiejczuk,Shamil Gamzatov,1,0,32,35,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:31
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Lerone Murphy,Makwan Amirkhani,1,0,4,4,0,5,0,0,Featherweight,KO/TKO,Knee,2,0:14
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Andre Petroski,Hu Yaozong,0,0,72,25,4,0,6,0,Middleweight,SUB,Arm Triangle,3,4:46
"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Tagir Ulanbekov,Allan Nascimento,0,0,18,25,4,0,1,2,Flyweight,S-DEC,,3,5:00
