Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 27, 2016","London, England, United Kingdom",win,Michael Bisping,Anderson Silva,1,1,108,75,0,0,0,0,Middleweight,U-DEC,,5,5:00
"February 27, 2016","London, England, United Kingdom",win,Gegard Mousasi,Thales Leites,0,0,81,17,0,0,0,0,Middleweight,U-DEC,,3,5:00
"February 27, 2016","London, England, United Kingdom",win,Tom Breese,Keita Nakamura,0,0,32,6,0,3,1,1,Welterweight,U-DEC,,3,5:00
"February 27, 2016","London, England, United Kingdom",win,Brad Pickett,Francisco Rivera,0,0,39,69,3,2,0,0,Bantamweight,S-DEC,,3,5:00
"February 27, 2016","London, England, United Kingdom",win,Makwan Amirkhani,Mike Wilkinson,0,0,32,13,4,0,0,2,Featherweight,U-DEC,,3,5:00
"February 27, 2016","London, England, United Kingdom",win,Davey Grant,Marlon Vera,0,0,72,23,1,1,0,0,Bantamweight,U-DEC,,3,5:00
"February 27, 2016","London, England, United Kingdom",win,Scott Askham,Chris Dempsey,1,0,7,6,1,1,0,0,Middleweight,KO/TKO,Punch,1,4:45
"February 27, 2016","London, England, United Kingdom",win,Arnold Allen,Yaotzin Meza,1,0,31,25,4,0,0,0,Featherweight,U-DEC,,3,5:00
"February 27, 2016","London, England, United Kingdom",win,Krzysztof Jotko,Brad Scott,0,0,59,45,2,0,0,0,Middleweight,U-DEC,,3,5:00
"February 27, 2016","London, England, United Kingdom",win,Rustam Khabilov,Norman Parke,0,0,33,17,6,1,0,0,Lightweight,U-DEC,,3,5:00
"February 27, 2016","London, England, United Kingdom",win,Daniel Omielanczuk,Jarjis Danho,0,0,77,38,0,0,0,0,Heavyweight,M-DEC,,3,1:31
"February 27, 2016","London, England, United Kingdom",win,Teemu Packalen,Thibault Gouti,1,0,6,0,0,0,1,0,Lightweight,SUB,Rear Naked Choke,1,0:24
"February 27, 2016","London, England, United Kingdom",win,David Teymur,Martin Svensson,1,0,38,13,1,0,0,0,Lightweight,KO/TKO,Punch,2,1:26
