Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 11, 2022","Kallang, Singapore",win,Jiri Prochazka,Glover Teixeira,0,0,120,111,0,5,1,1,Light Heavyweight,SUB,Rear Naked Choke,5,4:32
"June 11, 2022","Kallang, Singapore",win,Valentina Shevchenko,Taila Santos,0,0,77,55,3,3,1,3,Women's Flyweight,S-DEC,,5,5:00
"June 11, 2022","Kallang, Singapore",win,Zhang Weili,Joanna Jedrzejczyk,1,0,69,43,3,0,0,0,Women's Strawweight,KO/TKO,Spinning Back Fist,2,2:28
"June 11, 2022","Kallang, Singapore",win,Jake Matthews,Andre Fialho,1,0,47,18,0,0,0,0,Welterweight,KO/TKO,Punch,2,2:24
"June 11, 2022","Kallang, Singapore",win,Jack Della Maddalena,Ramazan Emeev,1,0,18,7,0,1,0,1,Welterweight,KO/TKO,Punch,1,2:32
"June 11, 2022","Kallang, Singapore",win,Josh Culibao,SeungWoo Choi,2,0,51,46,0,1,0,0,Featherweight,S-DEC,,3,5:00
"June 11, 2022","Kallang, Singapore",win,Maheshate,Steve Garcia,2,0,7,7,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:14
"June 11, 2022","Kallang, Singapore",win,Brendan Allen,Jacob Malkoun,0,0,45,33,2,7,0,0,Middleweight,U-DEC,,3,5:00
"June 11, 2022","Kallang, Singapore",win,Kyung Ho Kang,Batgerel Danaa,0,0,100,109,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"June 11, 2022","Kallang, Singapore",win,Silvana Gomez Juarez,Liang Na,1,0,8,4,0,0,0,0,Women's Strawweight,KO/TKO,Punches,1,1:22
"June 11, 2022","Kallang, Singapore",win,Joselyne Edwards,Ramona Pascual,0,0,164,63,0,1,0,0,Women's Featherweight,U-DEC,,3,5:00
