Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 02, 2024","Edmonton, Alberta, Canada",win,Brandon Moreno,Amir Albazi,0,0,132,63,0,1,0,0,Flyweight,U-DEC,,5,5:00
"November 02, 2024","Edmonton, Alberta, Canada",win,Erin Blanchfield,Rose Namajunas,0,0,110,94,2,1,0,0,Women's Flyweight,U-DEC,,5,5:00
"November 02, 2024","Edmonton, Alberta, Canada",win,Brendson Ribeiro,Caio Machado,0,0,49,76,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"November 02, 2024","Edmonton, Alberta, Canada",win,Jasmine Jasudavicius,Ariane da Silva,0,0,36,42,3,0,1,0,Women's Flyweight,SUB,D'Arce Choke,3,2:28
"November 02, 2024","Edmonton, Alberta, Canada",win,Dustin Stoltzfus,Marc-Andre Barriault,1,0,13,7,0,0,1,0,Middleweight,KO/TKO,Punch,1,4:28
"November 02, 2024","Edmonton, Alberta, Canada",win,Mike Malott,Trevin Giles,0,0,59,34,0,0,0,0,Welterweight,U-DEC,,3,5:00
"November 02, 2024","Edmonton, Alberta, Canada",win,Aiemann Zahabi,Pedro Munhoz,0,0,109,95,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"November 02, 2024","Edmonton, Alberta, Canada",win,Charles Jourdain,Victor Henry,0,0,39,24,0,4,1,0,Bantamweight,SUB,Guillotine Choke,2,3:43
"November 02, 2024","Edmonton, Alberta, Canada",win,Youssef Zalal,Jack Shore,1,0,13,8,1,2,1,0,Featherweight,SUB,Arm Triangle,2,0:59
"November 02, 2024","Edmonton, Alberta, Canada",win,Alexandr Romanov,Rodrigo Nascimento,0,0,45,31,6,0,1,0,Heavyweight,U-DEC,,3,5:00
"November 02, 2024","Edmonton, Alberta, Canada",win,Serhiy Sidey,Garrett Armfield,0,0,68,71,0,4,3,1,Bantamweight,S-DEC,,3,5:00
"November 02, 2024","Edmonton, Alberta, Canada",win,Cody Gibson,Chad Anheliger,0,0,16,11,5,0,2,0,Bantamweight,U-DEC,,3,5:00
"November 02, 2024","Edmonton, Alberta, Canada",win,Jamey-Lyn Horth,Ivana Petrovic,0,0,29,25,2,2,0,0,Women's Flyweight,S-DEC,,3,5:00
