Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 05, 2021","Las Vegas, Nevada, USA",win,Jairzinho Rozenstruik,Augusto Sakai,1,0,16,3,0,0,0,0,Heavyweight,KO/TKO,Punches,1,4:59
"June 05, 2021","Las Vegas, Nevada, USA",win,Marcin Tybura,Walt Harris,0,0,4,23,1,0,0,0,Heavyweight,KO/TKO,Punches,1,4:06
"June 05, 2021","Las Vegas, Nevada, USA",win,Roman Dolidze,Laureano Staropoli,0,0,14,9,5,3,0,0,Middleweight,U-DEC,,3,5:00
"June 05, 2021","Las Vegas, Nevada, USA",win,Santiago Ponzinibbio,Miguel Baeza,0,0,121,104,0,0,0,0,Welterweight,U-DEC,,3,5:00
"June 05, 2021","Las Vegas, Nevada, USA",win,Gregory Rodrigues,Dusko Todorovic,0,0,71,37,3,0,0,0,Middleweight,U-DEC,,3,5:00
"June 05, 2021","Las Vegas, Nevada, USA",win,Montana De La Rosa,Ariane da Silva,0,0,29,11,2,0,0,0,Women's Flyweight,KO/TKO,Punches,2,4:27
"June 05, 2021","Las Vegas, Nevada, USA",win,Ilir Latifi,Tanner Boser,0,0,10,45,2,0,0,0,Heavyweight,S-DEC,,3,5:00
"June 05, 2021","Las Vegas, Nevada, USA",win,Muslim Salikhov,Francisco Trinaldo,1,0,62,39,2,0,0,0,Welterweight,U-DEC,,3,5:00
"June 05, 2021","Las Vegas, Nevada, USA",win,Kamuela Kirk,Makwan Amirkhani,0,0,28,20,0,5,3,0,Featherweight,U-DEC,,3,5:00
"June 05, 2021","Las Vegas, Nevada, USA",ncnc,Alan Patrick,Mason Jones,0,0,10,46,0,2,0,0,Lightweight,CNC,,2,2:14
"June 05, 2021","Las Vegas, Nevada, USA",win,Manon Fiorot,Tabatha Ricci,1,0,84,17,1,0,0,0,Women's Flyweight,KO/TKO,Punches,2,3:00
"June 05, 2021","Las Vegas, Nevada, USA",win,Sean Woodson,Youssef Zalal,0,0,40,42,0,2,2,0,Featherweight,S-DEC,,3,5:00
"June 05, 2021","Las Vegas, Nevada, USA",win,Claudio Puelles,Jordan Leavitt,0,0,20,21,4,2,0,0,Lightweight,U-DEC,,3,5:00
