Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 04, 2011","Las Vegas, Nevada, USA",win,Tony Ferguson,Ramsey Nijem,1,0,21,12,2,0,0,0,Welterweight,KO/TKO,Punches,1,3:54
"June 04, 2011","Las Vegas, Nevada, USA",win,Clay Guida,Anthony Pettis,0,0,19,14,5,0,0,1,Lightweight,U-DEC,,3,5:00
"June 04, 2011","Las Vegas, Nevada, USA",win,Ed Herman,Tim Credeur,1,0,11,11,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:48
"June 04, 2011","Las Vegas, Nevada, USA",win,Kyle Kingsbury,Fabio Maldonado,0,0,95,78,5,2,0,2,Light Heavyweight,U-DEC,,3,5:00
"June 04, 2011","Las Vegas, Nevada, USA",win,Chris Cope,Chuck O'Neil,0,0,66,47,0,0,0,0,Welterweight,U-DEC,,3,5:00
"June 04, 2011","Las Vegas, Nevada, USA",win,Jeremy Stephens,Danny Downes,0,0,55,32,6,0,3,1,Lightweight,U-DEC,,3,5:00
"June 04, 2011","Las Vegas, Nevada, USA",win,George Roop,Josh Grispi,1,0,91,11,0,4,0,0,Featherweight,KO/TKO,Punch,3,3:14
"June 04, 2011","Las Vegas, Nevada, USA",win,Shamar Bailey,Ryan McGillivray,0,0,33,19,5,0,0,0,Welterweight,U-DEC,,3,5:00
"June 04, 2011","Las Vegas, Nevada, USA",win,Clay Harvison,Justin Edwards,0,0,57,42,1,7,2,0,Welterweight,S-DEC,,3,5:00
"June 04, 2011","Las Vegas, Nevada, USA",win,Scott Jorgensen,Ken Stone,0,0,15,18,1,0,0,0,Bantamweight,KO/TKO,Punch,1,4:01
"June 04, 2011","Las Vegas, Nevada, USA",win,Reuben Duran,Francisco Rivera,0,0,42,22,2,0,2,3,Bantamweight,SUB,Rear Naked Choke,3,1:57
