Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 27, 2014","Las Vegas, Nevada, USA",win,Demetrious Johnson,Chris Cariaso,0,0,27,6,1,0,2,0,Flyweight,SUB,Kimura,2,2:29
"September 27, 2014","Las Vegas, Nevada, USA",win,Donald Cerrone,Eddie Alvarez,1,0,88,48,0,0,0,0,Lightweight,U-DEC,,3,5:00
"September 27, 2014","Las Vegas, Nevada, USA",win,Conor McGregor,Dustin Poirier,1,0,9,10,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:46
"September 27, 2014","Las Vegas, Nevada, USA",win,Yoel Romero,Tim Kennedy,2,0,39,30,3,0,0,1,Middleweight,KO/TKO,Punch,3,0:58
"September 27, 2014","Las Vegas, Nevada, USA",win,Cat Zingano,Amanda Nunes,0,0,40,22,3,1,3,0,Women's Bantamweight,KO/TKO,Punches,3,1:21
"September 27, 2014","Las Vegas, Nevada, USA",win,Dominick Cruz,Takeya Mizugaki,0,0,26,2,2,0,0,0,Bantamweight,KO/TKO,Punches,1,1:01
"September 27, 2014","Las Vegas, Nevada, USA",win,Jorge Masvidal,James Krause,1,0,69,58,2,0,0,0,Lightweight,U-DEC,,3,5:00
"September 27, 2014","Las Vegas, Nevada, USA",win,Stephen Thompson,Patrick Cote,1,0,64,53,0,0,0,0,Welterweight,U-DEC,,3,5:00
"September 27, 2014","Las Vegas, Nevada, USA",win,Brian Ebersole,John Howard,0,0,49,42,1,2,0,0,Welterweight,S-DEC,,3,5:00
"September 27, 2014","Las Vegas, Nevada, USA",win,Kevin Lee,Jon Tuck,0,0,74,30,4,0,0,2,Lightweight,U-DEC,,3,5:00
"September 27, 2014","Las Vegas, Nevada, USA",win,Manvel Gamburyan,Cody Gibson,0,1,11,49,2,1,1,0,Bantamweight,SUB,Guillotine Choke,2,4:56
