Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 11, 2012","Denver, Colorado, USA",win,Benson Henderson,Frankie Edgar,0,1,64,66,0,2,1,2,Lightweight,S-DEC,,5,5:00
"August 11, 2012","Denver, Colorado, USA",win,Donald Cerrone,Melvin Guillard,1,1,4,10,0,0,0,0,Lightweight,KO/TKO,Kick,1,1:16
"August 11, 2012","Denver, Colorado, USA",ncnc,Jake Shields,Ed Herman,0,0,33,21,3,1,0,0,Middleweight,Overturned,,3,5:00
"August 11, 2012","Denver, Colorado, USA",win,Yushin Okami,Buddy Roberts,0,0,26,15,3,0,0,1,Middleweight,KO/TKO,Punches,2,3:05
"August 11, 2012","Denver, Colorado, USA",win,Max Holloway,Justin Lawrence,1,0,29,32,0,1,0,0,Featherweight,KO/TKO,Punch,2,4:49
"August 11, 2012","Denver, Colorado, USA",win,Dennis Bermudez,Tommy Hayden,0,1,12,6,1,0,2,0,Featherweight,SUB,Guillotine Choke,1,4:43
"August 11, 2012","Denver, Colorado, USA",win,Michael Kuiper,Jared Hamman,2,0,56,61,1,0,0,0,Middleweight,KO/TKO,Punch,2,2:16
"August 11, 2012","Denver, Colorado, USA",win,Erik Perez,Ken Stone,1,0,9,2,0,0,0,0,Bantamweight,KO/TKO,Punch,1,0:17
"August 11, 2012","Denver, Colorado, USA",win,Chico Camus,Dustin Pague,0,0,32,22,2,1,1,1,Bantamweight,U-DEC,,3,5:00
"August 11, 2012","Denver, Colorado, USA",win,Nik Lentz,Eiji Mitsuoka,0,0,33,5,4,0,0,0,Featherweight,KO/TKO,Punches,1,3:45
