Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 23, 2016","Las Vegas, Nevada, USA",win,Jon Jones,Ovince Saint Preux,0,0,105,57,3,0,0,0,Light Heavyweight,U-DEC,,5,5:00
"April 23, 2016","Las Vegas, Nevada, USA",win,Demetrious Johnson,Henry Cejudo,1,0,21,6,0,1,0,0,Flyweight,KO/TKO,Knees,1,2:49
"April 23, 2016","Las Vegas, Nevada, USA",win,Edson Barboza,Anthony Pettis,0,0,73,48,0,0,0,0,Lightweight,U-DEC,,3,5:00
"April 23, 2016","Las Vegas, Nevada, USA",win,Robert Whittaker,Rafael Natal,0,0,89,62,0,0,0,0,Middleweight,U-DEC,,3,5:00
"April 23, 2016","Las Vegas, Nevada, USA",win,Yair Rodriguez,Andre Fili,1,0,25,11,2,1,0,0,Featherweight,KO/TKO,Kick,2,2:15
"April 23, 2016","Las Vegas, Nevada, USA",win,Sergio Pettis,Chris Kelades,0,0,61,35,2,1,0,0,Flyweight,U-DEC,,3,5:00
"April 23, 2016","Las Vegas, Nevada, USA",win,Danny Roberts,Dominique Steele,0,1,60,34,0,6,0,0,Welterweight,U-DEC,,3,5:00
"April 23, 2016","Las Vegas, Nevada, USA",win,Carla Esparza,Juliana Lima,0,0,28,26,5,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"April 23, 2016","Las Vegas, Nevada, USA",win,James Vick,Glaico Franca Moreira,0,0,94,39,0,4,0,0,Lightweight,U-DEC,,3,5:00
"April 23, 2016","Las Vegas, Nevada, USA",win,Walt Harris,Cody East,1,0,31,26,0,0,0,0,Heavyweight,KO/TKO,Punches,1,4:18
"April 23, 2016","Las Vegas, Nevada, USA",win,Marcos Rogerio de Lima,Clint Hester,1,0,29,0,0,0,1,0,Light Heavyweight,SUB,Arm Triangle,1,4:35
"April 23, 2016","Las Vegas, Nevada, USA",win,Kevin Lee,Efrain Escudero,0,0,64,70,1,1,1,0,Lightweight,U-DEC,,3,5:00
