Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 08, 2023","Miami, Florida, USA",win,Israel Adesanya,Alex Pereira,1,0,41,49,0,0,0,0,Middleweight,KO/TKO,Punch,2,4:21
"April 08, 2023","Miami, Florida, USA",win,Gilbert Burns,Jorge Masvidal,0,0,42,39,4,0,0,0,Welterweight,U-DEC,,3,5:00
"April 08, 2023","Miami, Florida, USA",win,Rob Font,Adrian Yanez,1,0,33,25,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:57
"April 08, 2023","Miami, Florida, USA",win,Kevin Holland,Santiago Ponzinibbio,1,0,66,44,0,0,0,0,Welterweight,KO/TKO,Punch,3,3:16
"April 08, 2023","Miami, Florida, USA",win,Christian Rodriguez,Raul Rosas Jr.,0,0,29,2,1,3,0,1,Bantamweight,U-DEC,,3,5:00
"April 08, 2023","Miami, Florida, USA",win,Kelvin Gastelum,Chris Curtis,0,0,83,70,0,0,0,0,Middleweight,U-DEC,,3,5:00
"April 08, 2023","Miami, Florida, USA",win,Luana Pinheiro,Michelle Waterson-Gomez,0,0,44,61,0,1,0,0,Women's Strawweight,S-DEC,,3,5:00
"April 08, 2023","Miami, Florida, USA",win,Joe Pyfer,Gerald Meerschaert,0,0,14,10,0,0,0,0,Middleweight,KO/TKO,Punches,1,3:15
"April 08, 2023","Miami, Florida, USA",win,Loopy Godinez,Cynthia Calvillo,0,0,87,104,0,1,0,0,Women's Strawweight,S-DEC,,3,5:00
"April 08, 2023","Miami, Florida, USA",win,Ignacio Bahamondes,Trey Ogden,0,0,99,42,0,0,0,0,Catch Weight,U-DEC,,3,5:00
"April 08, 2023","Miami, Florida, USA",win,Steve Garcia,Shayilan Nuerdanbieke,1,1,17,18,0,1,0,0,Featherweight,KO/TKO,Punch,2,0:36
"April 08, 2023","Miami, Florida, USA",win,Sam Hughes,Jaqueline Amorim,0,0,46,12,1,2,0,3,Women's Strawweight,U-DEC,,3,5:00
