Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 31, 2010","Charlotte, North Carolina, USA",win,Kenny Florian,Takanori Gomi,0,0,51,20,1,0,1,0,Lightweight,SUB,Rear Naked Choke,3,2:52
"March 31, 2010","Charlotte, North Carolina, USA",win,Roy Nelson,Stefan Struve,1,0,9,2,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:39
"March 31, 2010","Charlotte, North Carolina, USA",win,Jorge Rivera,Nate Quarry,3,0,29,19,0,0,0,0,Middleweight,KO/TKO,Punches,2,0:29
"March 31, 2010","Charlotte, North Carolina, USA",win,Ross Pearson,Dennis Siver,0,0,54,39,1,2,0,0,Lightweight,U-DEC,,3,5:00
"March 31, 2010","Charlotte, North Carolina, USA",win,Andre Winner,Rafaello Oliveira,0,0,61,52,0,0,0,0,Lightweight,U-DEC,,3,5:00
"March 31, 2010","Charlotte, North Carolina, USA",win,Jacob Volkmann,Ronys Torres,0,0,24,20,5,3,0,0,Lightweight,S-DEC,,3,5:00
"March 31, 2010","Charlotte, North Carolina, USA",win,Nik Lentz,Rob Emerson,0,1,46,24,4,0,1,1,Lightweight,U-DEC,,3,5:00
"March 31, 2010","Charlotte, North Carolina, USA",win,Gleison Tibau,Caol Uno,1,0,22,6,1,0,0,0,Lightweight,KO/TKO,Punches,1,4:13
"March 31, 2010","Charlotte, North Carolina, USA",win,Yushin Okami,Lucio Linhares,1,0,50,8,0,0,0,0,Middleweight,KO/TKO,,2,2:47
"March 31, 2010","Charlotte, North Carolina, USA",win,Gerald Harris,Mario Miranda,2,1,17,16,0,0,0,0,Middleweight,KO/TKO,Punches,1,4:49
"March 31, 2010","Charlotte, North Carolina, USA",win,Charlie Brenneman,Jason High,0,0,33,12,6,0,0,3,Welterweight,U-DEC,,3,5:00
