Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 13, 2021","Las Vegas, Nevada, USA",win,Kamaru Usman,Gilbert Burns,2,0,83,45,0,0,0,0,Welterweight,KO/TKO,Punches,3,0:34
"February 13, 2021","Las Vegas, Nevada, USA",win,Alexa Grasso,Maycee Barber,0,0,38,40,0,3,1,0,Women's Flyweight,U-DEC,,3,5:00
"February 13, 2021","Las Vegas, Nevada, USA",win,Kelvin Gastelum,Ian Heinisch,0,0,38,27,6,1,0,2,Middleweight,U-DEC,,3,5:00
"February 13, 2021","Las Vegas, Nevada, USA",win,Ricky Simon,Brian Kelleher,0,0,45,19,6,0,1,0,Featherweight,U-DEC,,3,5:00
"February 13, 2021","Las Vegas, Nevada, USA",win,Julian Marquez,Maki Pitolo,0,0,41,32,0,5,4,1,Middleweight,SUB,Anaconda Choke,3,4:17
"February 13, 2021","Las Vegas, Nevada, USA",win,Anthony Hernandez,Rodolfo Vieira,0,0,32,9,0,4,2,0,Middleweight,SUB,Guillotine Choke,2,1:53
"February 13, 2021","Las Vegas, Nevada, USA",win,Belal Muhammad,Dhiego Lima,0,0,129,69,1,0,0,0,Welterweight,U-DEC,,3,5:00
"February 13, 2021","Las Vegas, Nevada, USA",win,Polyana Viana,Mallory Martin,0,0,4,5,0,1,5,0,Women's Strawweight,SUB,Armbar,1,3:18
"February 13, 2021","Las Vegas, Nevada, USA",win,Chris Gutierrez,Andre Ewell,1,0,69,59,1,1,0,1,Catch Weight,U-DEC,,3,5:00
"February 13, 2021","Las Vegas, Nevada, USA",win,Gabe Green,Phil Rowe,2,0,70,42,2,2,1,0,Welterweight,U-DEC,,3,5:00
