Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 17, 2021","Las Vegas, Nevada, USA",win,Islam Makhachev,Thiago Moises,0,0,61,13,3,1,1,1,Lightweight,SUB,Rear Naked Choke,4,2:38
"July 17, 2021","Las Vegas, Nevada, USA",win,Miesha Tate,Marion Reneau,0,0,65,25,3,0,0,0,Women's Bantamweight,KO/TKO,Elbows,3,1:53
"July 17, 2021","Las Vegas, Nevada, USA",win,Mateusz Gamrot,Jeremy Stephens,0,0,1,0,1,0,1,0,Lightweight,SUB,Kimura,1,1:05
"July 17, 2021","Las Vegas, Nevada, USA",win,Rodolfo Vieira,Dustin Stoltzfus,0,0,49,67,3,0,1,0,Middleweight,SUB,Rear Naked Choke,3,1:54
"July 17, 2021","Las Vegas, Nevada, USA",win,Billy Quarantillo,Gabriel Benitez,1,1,100,57,3,0,1,1,Featherweight,KO/TKO,Punches,3,3:40
"July 17, 2021","Las Vegas, Nevada, USA",win,Daniel Rodriguez,Preston Parsons,0,0,45,23,0,0,0,0,Welterweight,KO/TKO,Punches,1,3:47
"July 17, 2021","Las Vegas, Nevada, USA",win,Amanda Lemos,Montserrat Conejo Ruiz,1,0,7,3,0,0,0,0,Women's Strawweight,KO/TKO,Punch,1,0:35
"July 17, 2021","Las Vegas, Nevada, USA",win,Sergey Morozov,Khalid Taha,0,0,50,33,6,0,0,0,Bantamweight,U-DEC,,3,5:00
"July 17, 2021","Las Vegas, Nevada, USA",win,Malcolm Gordon,Francisco Figueiredo,0,0,46,28,2,2,0,0,Flyweight,U-DEC,,3,5:00
"July 17, 2021","Las Vegas, Nevada, USA",ncnc,Alan Baudot,Rodrigo Nascimento,0,0,60,49,0,0,0,0,Heavyweight,Overturned,Punches,2,1:29
