Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 07, 2020","Las Vegas, Nevada, USA",win,Glover Teixeira,Thiago Santos,0,1,46,40,4,0,2,0,Light Heavyweight,SUB,Rear Naked Choke,3,1:49
"November 07, 2020","Las Vegas, Nevada, USA",win,Andrei Arlovski,Tanner Boser,0,0,34,68,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"November 07, 2020","Las Vegas, Nevada, USA",win,Raoni Barcelos,Khalid Taha,0,0,120,49,2,0,1,0,Bantamweight,U-DEC,,3,5:00
"November 07, 2020","Las Vegas, Nevada, USA",win,Giga Chikadze,Jamey Simmons,1,0,8,2,0,0,0,0,Featherweight,KO/TKO,Kick,1,3:51
"November 07, 2020","Las Vegas, Nevada, USA",win,Yan Xiaonan,Claudia Gadelha,0,0,74,36,0,2,0,0,Women's Strawweight,U-DEC,,3,5:00
"November 07, 2020","Las Vegas, Nevada, USA",win,Trevin Giles,Bevon Lewis,2,0,38,26,1,0,0,0,Middleweight,KO/TKO,Punches,3,1:26
"November 07, 2020","Las Vegas, Nevada, USA",win,Alexandr Romanov,Marcos Rogerio de Lima,0,0,6,18,2,0,1,0,Heavyweight,SUB,Forearm Choke,1,4:48
"November 07, 2020","Las Vegas, Nevada, USA",win,Darren Elkins,Eduardo Garagorri,0,0,32,36,7,0,1,0,Featherweight,SUB,Rear Naked Choke,3,2:22
"November 07, 2020","Las Vegas, Nevada, USA",win,Max Griffin,Ramiz Brahimaj,0,0,74,45,0,0,0,0,Welterweight,KO/TKO,Elbow,3,2:03
"November 07, 2020","Las Vegas, Nevada, USA",win,Gustavo Lopez,Anthony Birchak,0,0,26,17,2,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,2:43
