Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 31, 2015","Las Vegas, Nevada, USA",ncnc,Anderson Silva,Nick Diaz,0,0,108,77,0,0,0,0,Middleweight,Overturned,,5,5:00
"January 31, 2015","Las Vegas, Nevada, USA",win,Tyron Woodley,Kelvin Gastelum,0,0,27,32,0,0,0,0,Welterweight,S-DEC,,3,5:00
"January 31, 2015","Las Vegas, Nevada, USA",win,Al Iaquinta,Joe Lauzon,1,0,59,32,1,0,0,0,Lightweight,KO/TKO,Punches,2,3:34
"January 31, 2015","Las Vegas, Nevada, USA",win,Thales Leites,Tim Boetsch,0,1,20,26,1,0,2,0,Middleweight,SUB,Arm Triangle,2,3:45
"January 31, 2015","Las Vegas, Nevada, USA",win,Thiago Alves,Jordan Mein,1,0,23,37,0,0,0,0,Welterweight,KO/TKO,Kick,2,0:39
"January 31, 2015","Las Vegas, Nevada, USA",win,Miesha Tate,Sara McMann,0,1,23,34,0,1,2,0,Women's Bantamweight,M-DEC,,3,5:00
"January 31, 2015","Las Vegas, Nevada, USA",win,Derek Brunson,Ed Herman,1,0,11,0,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:36
"January 31, 2015","Las Vegas, Nevada, USA",win,John Lineker,Ian McCall,0,0,38,40,0,1,3,0,Flyweight,U-DEC,,3,5:00
"January 31, 2015","Las Vegas, Nevada, USA",win,Rafael Natal,Tom Watson,0,0,67,29,8,0,0,0,Middleweight,U-DEC,,3,5:00
"January 31, 2015","Las Vegas, Nevada, USA",win,Ildemar Alcantara,Richardson Moreira,0,0,21,15,0,0,0,0,Middleweight,S-DEC,,3,5:00
"January 31, 2015","Las Vegas, Nevada, USA",win,Thiago Santos,Andy Enz,1,0,20,1,0,0,0,0,Middleweight,KO/TKO,Punches,1,1:56
