Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Jake Shields,Demian Maia,0,0,35,24,1,3,0,0,Welterweight,S-DEC,,5,5:00
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Dong Hyun Kim,Erick Silva,1,0,11,28,1,0,0,0,Welterweight,KO/TKO,Punch,2,3:01
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Thiago Silva,Matt Hamill,1,0,96,70,0,3,0,0,Light Heavyweight,U-DEC,,3,5:00
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Fabio Maldonado,Joey Beltran,0,0,87,57,0,1,1,0,Light Heavyweight,S-DEC,,3,5:00
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Rousimar Palhares,Mike Pierce,0,0,0,2,0,1,2,0,Welterweight,SUB,Heel Hook,1,0:31
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Raphael Assuncao,TJ Dillashaw,0,0,32,29,0,2,1,3,Bantamweight,S-DEC,,3,5:00
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Igor Araujo,Ildemar Alcantara,0,0,21,18,1,3,1,3,Welterweight,U-DEC,,3,5:00
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Yan Cabral,David Mitchell,1,0,18,5,4,0,1,1,Welterweight,U-DEC,,3,5:00
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Chris Cariaso,Iliarde Santos,0,0,54,35,0,2,0,0,Flyweight,KO/TKO,Punches,2,4:31
"October 09, 2013","Barueri, Sao Paulo, Brazil",win,Alan Patrick,Garett Whiteley,1,0,16,7,1,0,0,0,Lightweight,KO/TKO,Punch,1,3:54
