Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 01, 2011","Washington, DC, USA",win,Dominick Cruz,Demetrious Johnson,0,0,60,63,10,1,1,0,Bantamweight,U-DEC,,5,5:00
"October 01, 2011","Washington, DC, USA",win,Stefan Struve,Pat Barry,0,0,31,30,0,0,1,0,Heavyweight,SUB,Triangle Choke,2,3:22
"October 01, 2011","Washington, DC, USA",win,Anthony Johnson,Charlie Brenneman,1,0,16,1,0,0,0,0,Welterweight,KO/TKO,Kick,1,2:49
"October 01, 2011","Washington, DC, USA",win,Matt Wiman,Mac Danzig,0,0,93,66,2,2,1,1,Lightweight,U-DEC,,3,5:00
"October 01, 2011","Washington, DC, USA",win,Yves Edwards,Rafaello Oliveira,2,0,42,22,0,0,0,0,Lightweight,KO/TKO,Kick,2,2:44
"October 01, 2011","Washington, DC, USA",win,Paul Sass,Michael Johnson,0,0,2,8,0,0,3,0,Lightweight,SUB,Heel Hook,1,3:00
"October 01, 2011","Washington, DC, USA",win,Mike Easton,Byron Bloodworth,1,0,31,17,0,0,0,0,Bantamweight,KO/TKO,Knee,2,4:52
"October 01, 2011","Washington, DC, USA",win,TJ Grant,Shane Roller,0,0,24,10,2,1,3,2,Lightweight,SUB,Armbar,3,2:12
"October 01, 2011","Washington, DC, USA",win,Josh Neer,Keith Wisniewski,0,0,93,41,0,0,1,0,Welterweight,KO/TKO,,2,5:00
"October 01, 2011","Washington, DC, USA",win,Walel Watson,Joseph Sandoval,2,0,9,0,0,0,0,0,Bantamweight,KO/TKO,Punches,1,1:17
