Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 14, 2019","Las Vegas, Nevada, USA",win,Kamaru Usman,Colby Covington,2,0,175,143,0,0,0,0,Welterweight,KO/TKO,Punch,5,4:10
"December 14, 2019","Las Vegas, Nevada, USA",win,Alexander Volkanovski,Max Holloway,0,0,157,134,0,0,0,0,Featherweight,U-DEC,,5,5:00
"December 14, 2019","Las Vegas, Nevada, USA",win,Amanda Nunes,Germaine de Randamie,0,0,79,40,8,0,2,1,Women's Bantamweight,U-DEC,,5,5:00
"December 14, 2019","Las Vegas, Nevada, USA",win,Marlon Moraes,Jose Aldo,0,0,59,58,1,0,0,0,Bantamweight,S-DEC,,3,5:00
"December 14, 2019","Las Vegas, Nevada, USA",win,Petr Yan,Urijah Faber,3,0,54,18,2,0,0,0,Bantamweight,KO/TKO,Kick,3,0:43
"December 14, 2019","Las Vegas, Nevada, USA",win,Geoff Neal,Mike Perry,1,0,15,5,0,0,0,0,Welterweight,KO/TKO,Punches,1,1:30
"December 14, 2019","Las Vegas, Nevada, USA",win,Irene Aldana,Ketlen Vieira,1,0,26,20,0,0,0,0,Women's Bantamweight,KO/TKO,Punch,1,4:51
"December 14, 2019","Las Vegas, Nevada, USA",win,Omari Akhmedov,Ian Heinisch,0,0,55,53,2,3,0,0,Middleweight,U-DEC,,3,5:00
"December 14, 2019","Las Vegas, Nevada, USA",win,Matt Brown,Ben Saunders,0,0,30,12,2,0,0,4,Welterweight,KO/TKO,Punches,2,4:55
"December 14, 2019","Las Vegas, Nevada, USA",win,Chase Hooper,Daniel Teymur,0,0,20,2,1,0,2,1,Featherweight,KO/TKO,Elbows,1,4:34
"December 14, 2019","Las Vegas, Nevada, USA",win,Brandon Moreno,Kai Kara-France,0,0,91,82,0,0,0,0,Flyweight,U-DEC,,3,5:00
"December 14, 2019","Las Vegas, Nevada, USA",win,Jessica Eye,Viviane Araujo,0,0,98,56,0,2,0,0,Women's Flyweight,U-DEC,,3,5:00
"December 14, 2019","Las Vegas, Nevada, USA",win,Punahele Soriano,Oskar Piechota,2,0,26,8,1,0,0,0,Middleweight,KO/TKO,Punch,1,3:17
