Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 21, 2007","Manchester, England, United Kingdom",win,Gabriel Gonzaga,Mirko Filipovic,1,0,19,1,1,0,0,0,Heavyweight,KO/TKO,Kick,1,4:51
"April 21, 2007","Manchester, England, United Kingdom",win,Andrei Arlovski,Fabricio Werdum,1,0,28,23,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"April 21, 2007","Manchester, England, United Kingdom",win,Michael Bisping,Elvis Sinosic,0,1,36,8,1,0,0,2,Light Heavyweight,KO/TKO,Punches,2,1:40
"April 21, 2007","Manchester, England, United Kingdom",win,Lyoto Machida,David Heath,1,0,67,8,0,0,1,0,Light Heavyweight,U-DEC,,3,5:00
"April 21, 2007","Manchester, England, United Kingdom",win,Cheick Kongo,Assuerio Silva,0,0,64,13,0,6,1,0,Heavyweight,M-DEC,,3,5:00
"April 21, 2007","Manchester, England, United Kingdom",win,Terry Etim,Matt Grice,0,0,5,26,0,1,3,0,Lightweight,SUB,Guillotine Choke,1,4:48
"April 21, 2007","Manchester, England, United Kingdom",win,Junior Assuncao,David Lee,1,0,29,12,0,0,2,0,Lightweight,SUB,Rear Naked Choke,2,1:55
"April 21, 2007","Manchester, England, United Kingdom",win,Alessio Sakara,Victor Valimaki,0,0,6,0,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:44
"April 21, 2007","Manchester, England, United Kingdom",win,Jess Liaudin,Dennis Siver,0,0,1,2,0,1,1,0,Welterweight,SUB,Armbar,1,1:21
"April 21, 2007","Manchester, England, United Kingdom",win,Paul Taylor,Edilberto de Oliveira,1,0,78,46,0,0,0,0,Welterweight,KO/TKO,Kick,3,0:37
