Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 16, 2013","London, England, United Kingdom",win,Renan Barao,Michael McDonald,0,0,36,26,4,0,1,0,Bantamweight,SUB,Arm Triangle,4,3:57
"February 16, 2013","London, England, United Kingdom",win,Cub Swanson,Dustin Poirier,0,0,58,58,2,2,0,0,Featherweight,U-DEC,,3,5:00
"February 16, 2013","London, England, United Kingdom",win,Jimi Manuwa,Cyrille Diabate,0,0,18,9,3,0,0,0,Light Heavyweight,KO/TKO,,1,5:00
"February 16, 2013","London, England, United Kingdom",win,Gunnar Nelson,Jorge Santiago,0,0,42,43,2,0,0,0,Welterweight,U-DEC,,3,5:00
"February 16, 2013","London, England, United Kingdom",win,James Te Huna,Ryan Jimmo,0,1,49,34,2,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 16, 2013","London, England, United Kingdom",ncnc,Che Mills,Matthew Riddle,0,0,28,23,0,5,0,0,Welterweight,Overturned,,3,5:00
"February 16, 2013","London, England, United Kingdom",win,Renee Forte,Terry Etim,1,0,47,13,2,0,0,0,Lightweight,U-DEC,,3,5:00
"February 16, 2013","London, England, United Kingdom",win,Danny Castillo,Paul Sass,0,0,38,4,4,0,0,5,Lightweight,U-DEC,,3,5:00
"February 16, 2013","London, England, United Kingdom",win,Andy Ogle,Josh Grispi,0,0,19,7,2,1,0,2,Featherweight,U-DEC,,3,5:00
"February 16, 2013","London, England, United Kingdom",win,Tom Watson,Stanislav Nedkov,1,0,56,39,0,5,0,0,Middleweight,KO/TKO,Knee,2,4:42
"February 16, 2013","London, England, United Kingdom",win,Vaughan Lee,Motonobu Tezuka,0,0,20,4,0,1,0,1,Bantamweight,U-DEC,,3,5:00
"February 16, 2013","London, England, United Kingdom",win,Phil Harris,Ulysses Gomez,0,0,33,35,1,0,0,0,Flyweight,U-DEC,,3,5:00
