Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 19, 2008","Las Vegas, Nevada, USA",win,Anderson Silva,James Irvin,1,0,13,0,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:01
"July 19, 2008","Las Vegas, Nevada, USA",win,Brandon Vera,Reese Andy,0,0,38,30,2,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"July 19, 2008","Las Vegas, Nevada, USA",win,Frankie Edgar,Hermes Franca,0,0,69,18,10,0,0,1,Lightweight,U-DEC,,3,5:00
"July 19, 2008","Las Vegas, Nevada, USA",win,Cain Velasquez,Jake O'Brien,0,0,24,1,1,0,0,0,Heavyweight,KO/TKO,Punches,1,2:02
"July 19, 2008","Las Vegas, Nevada, USA",win,Kevin Burns,Anthony Johnson,0,0,37,51,0,5,0,0,Welterweight,KO/TKO,,3,3:35
"July 19, 2008","Las Vegas, Nevada, USA",win,CB Dollaway,Jesse Taylor,0,0,4,4,0,1,2,0,Middleweight,SUB,Peruvian Necktie,1,3:58
"July 19, 2008","Las Vegas, Nevada, USA",win,Tim Credeur,Cale Yarbrough,1,0,19,6,0,0,0,0,Middleweight,KO/TKO,Punches,1,1:54
"July 19, 2008","Las Vegas, Nevada, USA",win,Rory Markham,Brodie Farber,1,0,6,18,0,0,0,0,Welterweight,KO/TKO,Kick,1,1:37
"July 19, 2008","Las Vegas, Nevada, USA",win,Nate Loughran,Johnny Rees,0,0,1,7,0,0,2,0,Middleweight,SUB,Triangle Choke,1,4:21
"July 19, 2008","Las Vegas, Nevada, USA",win,Brad Blackburn,James Giboo,4,0,53,9,0,0,0,0,Welterweight,KO/TKO,Punches,2,2:29
"July 19, 2008","Las Vegas, Nevada, USA",win,Shannon Gugerty,Dale Hartt,0,0,3,1,1,0,2,2,Lightweight,SUB,Rear Naked Choke,1,3:33
