Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 11, 2017","Fortaleza, Ceara, Brazil",ncnc,Vitor Belfort,Kelvin Gastelum,0,2,10,26,0,0,0,0,Middleweight,Overturned,Punch,1,3:52
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Mauricio Rua,Gian Villante,2,0,94,55,2,0,0,0,Light Heavyweight,KO/TKO,Punch,3,0:59
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Edson Barboza,Beneil Dariush,1,0,30,51,0,0,0,0,Lightweight,KO/TKO,Flying Knee,2,3:35
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Ray Borg,Jussier Formiga,0,0,36,30,0,0,0,0,Flyweight,U-DEC,,3,5:00
"March 11, 2017","Fortaleza, Ceara, Brazil",drawdraw,Bethe Correia,Marion Reneau,0,0,43,75,2,0,0,0,Women's Bantamweight,M-DEC,,3,5:00
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Alex Oliveira,Tim Means,0,0,12,9,6,0,1,0,Welterweight,SUB,Rear Naked Choke,2,2:38
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Kevin Lee,Francisco Trinaldo,0,0,15,25,1,0,1,1,Lightweight,SUB,Rear Naked Choke,2,3:12
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Sergio Moraes,Davi Ramos,0,0,39,35,0,0,0,0,Welterweight,U-DEC,,3,5:00
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Joe Soto,Rani Yahya,0,0,54,59,1,1,2,0,Bantamweight,U-DEC,,3,5:00
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Michel Prazeres,Joshua Burkman,0,0,24,1,2,0,1,0,Lightweight,SUB,North-South Choke,1,1:42
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Jeremy Kennedy,Rony Jason,0,1,46,18,8,0,0,0,Featherweight,U-DEC,,3,5:00
"March 11, 2017","Fortaleza, Ceara, Brazil",win,Paulo Costa,Garreth McLellan,1,0,22,6,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:17
