Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 14, 2013","Sacramento, California, USA",win,Demetrious Johnson,Joseph Benavidez,1,0,7,4,0,0,0,0,Flyweight,KO/TKO,Punch,1,2:08
"December 14, 2013","Sacramento, California, USA",win,Urijah Faber,Michael McDonald,1,0,29,9,1,0,1,0,Bantamweight,SUB,Guillotine Choke,2,3:22
"December 14, 2013","Sacramento, California, USA",win,Chad Mendes,Nik Lentz,0,0,35,40,7,0,1,0,Featherweight,U-DEC,,3,5:00
"December 14, 2013","Sacramento, California, USA",win,Joe Lauzon,Mac Danzig,0,0,43,52,3,0,2,0,Lightweight,U-DEC,,3,5:00
"December 14, 2013","Sacramento, California, USA",win,Ryan LaFlare,Court McGee,0,0,68,54,4,4,1,2,Welterweight,U-DEC,,3,5:00
"December 14, 2013","Sacramento, California, USA",win,Edson Barboza,Danny Castillo,1,0,43,55,0,1,1,1,Lightweight,M-DEC,,3,5:00
"December 14, 2013","Sacramento, California, USA",win,King Green,Pat Healy,0,0,80,59,3,2,0,0,Lightweight,U-DEC,,3,5:00
"December 14, 2013","Sacramento, California, USA",win,Zach Makovsky,Scott Jorgensen,0,0,26,31,6,1,1,1,Flyweight,U-DEC,,3,5:00
"December 14, 2013","Sacramento, California, USA",win,Sam Stout,Cody McKenzie,0,0,54,31,1,1,1,0,Lightweight,U-DEC,,3,5:00
"December 14, 2013","Sacramento, California, USA",win,Abel Trujillo,Roger Bowling,0,0,43,9,5,0,0,0,Lightweight,KO/TKO,Punches,2,1:35
"December 14, 2013","Sacramento, California, USA",win,Alptekin Ozkilic,Darren Uyenoyama,0,0,27,33,3,2,0,0,Flyweight,S-DEC,,3,5:00
