Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 10, 2016","Zagreb, Croatia",win,Junior Dos Santos,Ben Rothwell,0,0,157,77,0,0,0,0,Heavyweight,U-DEC,,5,5:00
"April 10, 2016","Zagreb, Croatia",win,Derrick Lewis,Gabriel Gonzaga,1,0,17,5,0,1,0,0,Heavyweight,KO/TKO,Punches,1,4:48
"April 10, 2016","Zagreb, Croatia",win,Francis Ngannou,Curtis Blaydes,0,0,36,24,0,2,0,0,Heavyweight,KO/TKO,,2,5:00
"April 10, 2016","Zagreb, Croatia",win,Timothy Johnson,Marcin Tybura,0,0,45,48,0,1,0,0,Heavyweight,U-DEC,,3,5:00
"April 10, 2016","Zagreb, Croatia",win,Jan Blachowicz,Igor Pokrajac,0,0,98,35,4,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"April 10, 2016","Zagreb, Croatia",win,Maryna Moroz,Cristina Stanciu,0,0,35,39,1,1,1,2,Women's Strawweight,U-DEC,,3,5:00
"April 10, 2016","Zagreb, Croatia",win,Zak Cummings,Nicolas Dalby,1,0,56,57,1,0,1,0,Welterweight,U-DEC,,3,5:00
"April 10, 2016","Zagreb, Croatia",win,Alejandro Perez,Ian Entwistle,0,0,48,0,0,0,0,1,Bantamweight,KO/TKO,Punches,1,4:04
"April 10, 2016","Zagreb, Croatia",win,Mairbek Taisumov,Damir Hadzovic,1,0,25,11,0,0,0,0,Lightweight,KO/TKO,Punch,1,3:44
"April 10, 2016","Zagreb, Croatia",win,Damian Stasiak,Filip Pejic,0,0,2,0,2,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,2:16
"April 10, 2016","Zagreb, Croatia",win,Lucas Martins,Robert Whiteford,0,0,30,45,0,1,0,0,Featherweight,S-DEC,,3,5:00
"April 10, 2016","Zagreb, Croatia",win,Jared Cannonier,Cyril Asker,1,0,27,13,0,0,0,0,Heavyweight,KO/TKO,Punch,1,2:44
"April 10, 2016","Zagreb, Croatia",win,Bojan Velickovic,Alessio Di Chirico,0,0,45,65,1,2,1,0,Middleweight,U-DEC,,3,5:00
