Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 20, 2009","Las Vegas, Nevada, USA",win,Diego Sanchez,Clay Guida,1,0,68,29,1,2,3,0,Lightweight,S-DEC,,3,5:00
"June 20, 2009","Las Vegas, Nevada, USA",win,James Wilks,DaMarques Johnson,0,0,17,13,2,0,8,0,Welterweight,SUB,Rear Naked Choke,1,4:54
"June 20, 2009","Las Vegas, Nevada, USA",win,Chris Lytle,Kevin Burns,0,1,101,69,0,1,0,0,Welterweight,U-DEC,,3,5:00
"June 20, 2009","Las Vegas, Nevada, USA",win,Ross Pearson,Andre Winner,0,0,74,46,0,0,0,0,Lightweight,U-DEC,,3,5:00
"June 20, 2009","Las Vegas, Nevada, USA",win,Joe Stevenson,Nate Diaz,0,0,27,6,8,1,1,4,Lightweight,U-DEC,,3,5:00
"June 20, 2009","Las Vegas, Nevada, USA",win,Melvin Guillard,Gleison Tibau,0,0,13,14,1,6,0,0,Lightweight,S-DEC,,3,5:00
"June 20, 2009","Las Vegas, Nevada, USA",win,Brad Blackburn,Edgar Garcia,0,0,66,39,0,1,1,0,Welterweight,S-DEC,,3,5:00
"June 20, 2009","Las Vegas, Nevada, USA",win,Tomasz Drwal,Mike Ciesnolevicz,1,0,27,3,4,0,0,0,Light Heavyweight,KO/TKO,Knee,1,4:48
"June 20, 2009","Las Vegas, Nevada, USA",win,Nick Osipczak,Frank Lester,0,0,14,8,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,3:40
"June 20, 2009","Las Vegas, Nevada, USA",win,Jason Dent,Cameron Dollar,0,0,14,24,0,0,1,0,Lightweight,SUB,Anaconda Choke,1,4:46
