Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 12, 2016","New York City, New York, USA",win,Conor McGregor,Eddie Alvarez,3,0,32,9,0,0,0,0,Lightweight,KO/TKO,Punches,2,3:04
"November 12, 2016","New York City, New York, USA",drawdraw,Tyron Woodley,Stephen Thompson,1,0,61,43,1,0,2,0,Welterweight,M-DEC,,5,5:00
"November 12, 2016","New York City, New York, USA",win,Joanna Jedrzejczyk,Karolina Kowalkiewicz,0,0,171,50,1,0,0,0,Women's Strawweight,U-DEC,,5,5:00
"November 12, 2016","New York City, New York, USA",win,Yoel Romero,Chris Weidman,1,0,18,12,2,1,0,0,Middleweight,KO/TKO,Flying Knee,3,0:24
"November 12, 2016","New York City, New York, USA",win,Raquel Pennington,Miesha Tate,0,0,43,21,1,1,3,0,Women's Bantamweight,U-DEC,,3,5:00
"November 12, 2016","New York City, New York, USA",win,Frankie Edgar,Jeremy Stephens,0,1,40,33,5,0,2,1,Featherweight,U-DEC,,3,5:00
"November 12, 2016","New York City, New York, USA",win,Khabib Nurmagomedov,Michael Johnson,0,0,94,19,2,0,1,1,Lightweight,SUB,Kimura,3,2:31
"November 12, 2016","New York City, New York, USA",win,Tim Boetsch,Rafael Natal,1,0,14,5,0,0,0,0,Middleweight,KO/TKO,Punches,1,3:22
"November 12, 2016","New York City, New York, USA",win,Vicente Luque,Belal Muhammad,1,0,9,3,0,0,0,0,Welterweight,KO/TKO,Punches,1,1:19
"November 12, 2016","New York City, New York, USA",win,Jim Miller,Thiago Alves,0,0,28,36,4,0,1,0,Catch Weight,U-DEC,,3,5:00
"November 12, 2016","New York City, New York, USA",win,Liz Carmouche,Katlyn Cerminara,0,1,27,22,4,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
