Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 08, 2012","Sunrise, Florida, USA",win,Demetrious Johnson,Ian McCall,1,0,90,57,2,1,0,0,Flyweight,U-DEC,,3,5:00
"June 08, 2012","Sunrise, Florida, USA",win,Erick Silva,Charlie Brenneman,0,0,10,3,0,1,2,0,Welterweight,SUB,Rear Naked Choke,1,4:33
"June 08, 2012","Sunrise, Florida, USA",win,Mike Pyle,Josh Neer,1,0,18,19,1,0,0,0,Welterweight,KO/TKO,Punch,1,4:56
"June 08, 2012","Sunrise, Florida, USA",win,Eddie Wineland,Scott Jorgensen,1,0,61,48,1,0,0,0,Bantamweight,KO/TKO,Punch,2,4:10
"June 08, 2012","Sunrise, Florida, USA",win,Mike Pierce,Carlos Eduardo Rocha,0,0,32,17,3,0,0,0,Welterweight,U-DEC,,3,5:00
"June 08, 2012","Sunrise, Florida, USA",win,Seth Baczynski,Lance Benoist,0,0,25,35,1,3,0,0,Welterweight,S-DEC,,3,5:00
"June 08, 2012","Sunrise, Florida, USA",win,Matt Grice,Leonard Garcia,0,0,61,2,4,0,1,0,Featherweight,U-DEC,,3,5:00
"June 08, 2012","Sunrise, Florida, USA",win,Dustin Pague,Jared Papazian,0,0,6,7,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,3:21
"June 08, 2012","Sunrise, Florida, USA",win,Tim Means,Justin Salas,2,0,26,5,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:06
"June 08, 2012","Sunrise, Florida, USA",win,Buddy Roberts,Caio Magalhaes,0,0,35,22,0,2,0,0,Middleweight,U-DEC,,3,5:00
"June 08, 2012","Sunrise, Florida, USA",win,Henry Martinez,Bernardo Magalhaes,0,0,18,26,0,0,0,1,Lightweight,S-DEC,,3,5:00
"June 08, 2012","Sunrise, Florida, USA",win,Sean Pierson,Jake Hecht,0,0,41,37,1,3,1,0,Welterweight,U-DEC,,3,5:00
