Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 02, 2022","Las Vegas, Nevada, USA",win,Israel Adesanya,Jared Cannonier,0,0,116,90,0,0,0,0,Middleweight,U-DEC,,5,5:00
"July 02, 2022","Las Vegas, Nevada, USA",win,Alexander Volkanovski,Max Holloway,0,0,199,127,0,0,0,0,Featherweight,U-DEC,,5,5:00
"July 02, 2022","Las Vegas, Nevada, USA",win,Alex Pereira,Sean Strickland,1,0,25,15,0,0,0,0,Middleweight,KO/TKO,Punches,1,2:36
"July 02, 2022","Las Vegas, Nevada, USA",win,Bryan Barberena,Robbie Lawler,0,0,147,81,0,0,0,0,Welterweight,KO/TKO,Punches,2,4:47
"July 02, 2022","Las Vegas, Nevada, USA",ncnc,Pedro Munhoz,Sean O'Malley,0,0,26,25,0,0,0,0,Bantamweight,CNC,,2,3:09
"July 02, 2022","Las Vegas, Nevada, USA",win,Jalin Turner,Brad Riddell,0,0,3,2,0,0,1,0,Lightweight,SUB,Guillotine Choke,1,0:45
"July 02, 2022","Las Vegas, Nevada, USA",win,Jim Miller,Donald Cerrone,0,0,24,21,1,0,1,0,Welterweight,SUB,Guillotine Choke,2,1:32
"July 02, 2022","Las Vegas, Nevada, USA",win,Ian Machado Garry,Gabe Green,1,0,116,90,1,1,0,0,Welterweight,U-DEC,,3,5:00
"July 02, 2022","Las Vegas, Nevada, USA",win,Dricus Du Plessis,Brad Tavares,0,0,113,82,0,0,0,0,Middleweight,U-DEC,,3,5:00
"July 02, 2022","Las Vegas, Nevada, USA",win,Andre Muniz,Uriah Hall,0,0,17,6,4,0,0,0,Middleweight,U-DEC,,3,5:00
"July 02, 2022","Las Vegas, Nevada, USA",win,Maycee Barber,Jessica Eye,0,0,63,35,0,1,0,0,Women's Flyweight,U-DEC,,3,5:00
"July 02, 2022","Las Vegas, Nevada, USA",win,Julija Stoliarenko,Jessica-Rose Clark,0,0,6,9,1,0,1,0,Women's Bantamweight,SUB,Armbar,1,0:42
