Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 30, 2016","Las Vegas, Nevada, USA",win,Amanda Nunes,Ronda Rousey,0,0,27,7,0,0,0,0,Women's Bantamweight,KO/TKO,Punches,1,0:48
"December 30, 2016","Las Vegas, Nevada, USA",win,Cody Garbrandt,Dominick Cruz,2,0,68,88,1,0,0,0,Bantamweight,U-DEC,,5,5:00
"December 30, 2016","Las Vegas, Nevada, USA",win,TJ Dillashaw,John Lineker,0,0,71,38,5,1,1,0,Bantamweight,U-DEC,,3,5:00
"December 30, 2016","Las Vegas, Nevada, USA",win,Dong Hyun Kim,Tarec Saffiedine,0,0,36,52,3,2,0,0,Welterweight,S-DEC,,3,5:00
"December 30, 2016","Las Vegas, Nevada, USA",win,Ray Borg,Louis Smolka,0,0,21,10,4,0,1,1,Flyweight,U-DEC,,3,5:00
"December 30, 2016","Las Vegas, Nevada, USA",win,Neil Magny,Johny Hendricks,0,0,50,18,1,6,2,0,Welterweight,U-DEC,,3,5:00
"December 30, 2016","Las Vegas, Nevada, USA",win,Antonio Carlos Junior,Marvin Vettori,0,0,28,29,4,1,0,1,Middleweight,U-DEC,,3,5:00
"December 30, 2016","Las Vegas, Nevada, USA",win,Alex Garcia,Mike Pyle,1,0,14,5,1,0,0,0,Welterweight,KO/TKO,Punch,1,3:34
"December 30, 2016","Las Vegas, Nevada, USA",win,Niko Price,Brandon Thatch,0,0,6,8,1,0,2,2,Welterweight,SUB,Arm Triangle,1,4:30
"December 30, 2016","Las Vegas, Nevada, USA",ncnc,Alex Oliveira,Tim Means,1,0,6,17,1,1,0,0,Welterweight,CNC,,1,3:33
