Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 18, 2021","Las Vegas, Nevada, USA",win,Anthony Smith,Ryan Spann,2,0,17,8,0,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,1,3:47
"September 18, 2021","Las Vegas, Nevada, USA",win,Ion Cutelaba,Devin Clark,1,0,64,23,8,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"September 18, 2021","Las Vegas, Nevada, USA",win,Ariane da Silva,Mandy Bohm,2,0,87,36,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"September 18, 2021","Las Vegas, Nevada, USA",win,Arman Tsarukyan,Christos Giagos,1,0,22,1,0,0,0,0,Lightweight,KO/TKO,Punches,1,2:09
"September 18, 2021","Las Vegas, Nevada, USA",win,Nate Maness,Tony Gravely,1,1,31,36,1,1,0,0,Bantamweight,KO/TKO,Punches,2,2:10
"September 18, 2021","Las Vegas, Nevada, USA",win,Joaquin Buckley,Antonio Arroyo,1,0,41,21,1,0,0,0,Middleweight,KO/TKO,Punches,3,2:26
"September 18, 2021","Las Vegas, Nevada, USA",win,Tafon Nchukwi,Mike Rodriguez,0,0,116,49,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"September 18, 2021","Las Vegas, Nevada, USA",win,Raquel Pennington,Pannie Kianzad,0,0,48,50,1,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"September 18, 2021","Las Vegas, Nevada, USA",win,Rongzhu,Brandon Jenkins,1,0,86,41,6,0,0,0,Lightweight,KO/TKO,Punches,3,4:35
"September 18, 2021","Las Vegas, Nevada, USA",win,Montel Jackson,JP Buys,4,0,25,8,4,1,1,3,Bantamweight,U-DEC,,3,5:00
"September 18, 2021","Las Vegas, Nevada, USA",win,Erin Blanchfield,Sarah Alpar,0,0,120,41,3,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"September 18, 2021","Las Vegas, Nevada, USA",win,Carlston Harris,Impa Kasanganay,1,0,24,6,0,0,0,0,Welterweight,KO/TKO,Punches,1,2:38
"September 18, 2021","Las Vegas, Nevada, USA",drawdraw,Gustavo Lopez,Alatengheili,0,0,44,36,3,0,1,0,Bantamweight,U-DEC,,3,5:00
"September 18, 2021","Las Vegas, Nevada, USA",win,Hannah Goldy,Emily Whitmire,0,0,10,5,0,2,1,0,Women's Flyweight,SUB,Armbar,1,4:17
