Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Chris Lytle,Dan Hardy,0,0,127,61,0,1,1,0,Welterweight,SUB,Guillotine Choke,3,4:16
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Benson Henderson,Jim Miller,0,0,65,14,7,0,2,6,Lightweight,U-DEC,,3,5:00
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Donald Cerrone,Charles Oliveira,0,0,30,10,0,0,0,0,Lightweight,KO/TKO,Punches,1,3:01
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Duane Ludwig,Amir Sadollah,0,0,123,95,1,0,0,0,Welterweight,U-DEC,,3,5:00
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Jared Hamman,CB Dollaway,0,0,53,19,0,3,0,1,Middleweight,KO/TKO,Punches,2,3:38
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Joseph Benavidez,Eddie Wineland,0,0,66,24,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Ed Herman,Kyle Noke,0,0,2,12,1,1,3,0,Middleweight,SUB,Heel Hook,1,4:15
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Ronny Markes,Karlos Vemola,0,0,40,8,6,0,0,1,Light Heavyweight,U-DEC,,3,5:00
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Jimy Hettes,Alex Caceres,0,0,2,13,5,0,2,0,Featherweight,SUB,Rear Naked Choke,2,3:12
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Cole Miller,TJ O'Brien,1,0,32,28,0,0,2,0,Lightweight,SUB,Guillotine Choke,2,2:38
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Jacob Volkmann,Danny Castillo,0,0,6,22,3,1,6,0,Lightweight,U-DEC,,3,5:00
"August 14, 2011","Milwaukee, Wisconsin, USA",win,Edwin Figueroa,Jason Reinhardt,0,0,23,1,0,1,1,0,Bantamweight,KO/TKO,Punches,2,0:50
