Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 26, 2014","Baltimore, Maryland, USA",win,Jon Jones,Glover Teixeira,0,0,138,53,3,0,2,0,Light Heavyweight,U-DEC,,5,5:00
"April 26, 2014","Baltimore, Maryland, USA",win,Anthony Johnson,Phil Davis,0,0,45,21,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"April 26, 2014","Baltimore, Maryland, USA",win,Luke Rockhold,Tim Boetsch,0,0,4,1,0,0,2,0,Middleweight,SUB,Kimura,1,2:08
"April 26, 2014","Baltimore, Maryland, USA",win,Jim Miller,Yancy Medeiros,0,0,5,9,0,0,1,0,Lightweight,SUB,Guillotine Choke,1,3:18
"April 26, 2014","Baltimore, Maryland, USA",win,Max Holloway,Andre Fili,0,0,47,44,0,3,2,0,Featherweight,SUB,Guillotine Choke,3,3:39
"April 26, 2014","Baltimore, Maryland, USA",win,Joseph Benavidez,Tim Elliott,0,0,9,16,0,3,1,0,Flyweight,SUB,Guillotine Choke,1,4:08
"April 26, 2014","Baltimore, Maryland, USA",win,Takanori Gomi,Isaac Vallie-Flagg,0,0,130,107,0,1,0,0,Lightweight,U-DEC,,3,5:00
"April 26, 2014","Baltimore, Maryland, USA",win,Bethe Correia,Jessamyn Duke,0,0,91,54,0,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"April 26, 2014","Baltimore, Maryland, USA",win,Danny Castillo,Charlie Brenneman,1,0,16,13,0,2,0,0,Lightweight,KO/TKO,Punch,2,0:21
"April 26, 2014","Baltimore, Maryland, USA",win,Chris Beal,Patrick Williams,1,0,19,14,0,2,0,0,Bantamweight,KO/TKO,Flying Knee,2,1:51
