Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 01, 2022","Las Vegas, Nevada, USA",win,Yan Xiaonan,Mackenzie Dern,0,0,113,61,0,2,0,2,Women's Strawweight,M-DEC,,5,5:00
"October 01, 2022","Las Vegas, Nevada, USA",win,Randy Brown,Francisco Trinaldo,1,0,60,40,0,1,1,0,Welterweight,U-DEC,,3,5:00
"October 01, 2022","Las Vegas, Nevada, USA",win,Raoni Barcelos,Trevin Jones,1,0,73,11,2,0,0,0,Bantamweight,U-DEC,,3,5:00
"October 01, 2022","Las Vegas, Nevada, USA",win,Sodiq Yusuff,Don Shainis,0,0,9,3,0,0,1,0,Featherweight,SUB,Guillotine Choke,1,0:30
"October 01, 2022","Las Vegas, Nevada, USA",win,Mike Davis,Viacheslav Borshchev,0,0,65,63,9,0,1,0,Lightweight,U-DEC,,3,5:00
"October 01, 2022","Las Vegas, Nevada, USA",win,Daniel Santos,John Castaneda,1,1,69,57,2,3,0,0,Catch Weight,KO/TKO,Knee,2,4:28
"October 01, 2022","Las Vegas, Nevada, USA",win,Ilir Latifi,Aleksei Oleinik,0,0,38,28,3,0,0,0,Heavyweight,U-DEC,,3,5:00
"October 01, 2022","Las Vegas, Nevada, USA",win,Joaquim Silva,Jesse Ronson,1,0,45,39,0,0,0,0,Lightweight,KO/TKO,Flying Knee,2,3:08
"October 01, 2022","Las Vegas, Nevada, USA",win,Brendan Allen,Krzysztof Jotko,0,0,3,3,1,0,1,0,Middleweight,SUB,Rear Naked Choke,1,4:17
"October 01, 2022","Las Vegas, Nevada, USA",win,Chelsea Chandler,Julija Stoliarenko,0,0,38,12,0,1,0,0,Catch Weight,KO/TKO,Punches,1,4:15
"October 01, 2022","Las Vegas, Nevada, USA",win,Guido Cannetti,Randy Costa,0,0,8,2,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,1:04
