Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 23, 2015","Las Vegas, Nevada, USA",win,Daniel Cormier,Anthony Johnson,0,1,23,23,3,1,3,0,Light Heavyweight,SUB,Rear Naked Choke,3,2:39
"May 23, 2015","Las Vegas, Nevada, USA",win,Chris Weidman,Vitor Belfort,0,0,46,18,1,0,0,0,Middleweight,KO/TKO,Punches,1,2:53
"May 23, 2015","Las Vegas, Nevada, USA",win,Donald Cerrone,John Makdessi,0,0,71,72,0,0,0,0,Lightweight,KO/TKO,Kick,2,4:44
"May 23, 2015","Las Vegas, Nevada, USA",win,Andrei Arlovski,Travis Browne,1,1,51,15,0,0,0,0,Heavyweight,KO/TKO,Punches,1,4:41
"May 23, 2015","Las Vegas, Nevada, USA",win,Joseph Benavidez,John Moraga,0,0,63,42,4,0,0,0,Flyweight,U-DEC,,3,5:00
"May 23, 2015","Las Vegas, Nevada, USA",win,John Dodson,Zach Makovsky,0,0,31,37,2,0,0,0,Flyweight,U-DEC,,3,5:00
"May 23, 2015","Las Vegas, Nevada, USA",win,Dong Hyun Kim,Joshua Burkman,0,0,30,20,1,0,1,0,Welterweight,SUB,Arm Triangle,3,2:13
"May 23, 2015","Las Vegas, Nevada, USA",win,Rafael Natal,Uriah Hall,0,0,45,43,1,1,0,0,Middleweight,S-DEC,,3,5:00
"May 23, 2015","Las Vegas, Nevada, USA",win,Colby Covington,Mike Pyle,0,0,26,16,2,0,0,2,Welterweight,U-DEC,,3,5:00
"May 23, 2015","Las Vegas, Nevada, USA",win,Islam Makhachev,Leo Kuntz,0,0,32,7,3,0,1,0,Lightweight,SUB,Rear Naked Choke,2,2:38
"May 23, 2015","Las Vegas, Nevada, USA",win,Justin Scoggins,Josh Sampo,0,0,64,35,1,1,0,0,Flyweight,U-DEC,,3,5:00
