Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 22, 2012","Atlantic City, New Jersey, USA",win,Gray Maynard,Clay Guida,0,0,49,45,1,0,1,0,Lightweight,S-DEC,,5,5:00
"June 22, 2012","Atlantic City, New Jersey, USA",win,Sam Stout,Spencer Fisher,0,0,64,65,4,0,0,0,Lightweight,U-DEC,,3,5:00
"June 22, 2012","Atlantic City, New Jersey, USA",win,Brian Ebersole,TJ Waldburger,0,1,39,18,2,1,0,4,Welterweight,U-DEC,,3,5:00
"June 22, 2012","Atlantic City, New Jersey, USA",win,Cub Swanson,Ross Pearson,1,0,45,38,0,3,0,0,Featherweight,KO/TKO,Punch,2,4:14
"June 22, 2012","Atlantic City, New Jersey, USA",win,Ricardo Lamas,Hatsu Hioki,0,0,36,17,0,4,4,0,Featherweight,U-DEC,,3,5:00
"June 22, 2012","Atlantic City, New Jersey, USA",win,Ramsey Nijem,CJ Keith,0,0,5,5,1,0,0,0,Lightweight,KO/TKO,Punch,1,2:29
"June 22, 2012","Atlantic City, New Jersey, USA",win,Rick Story,Brock Jardine,0,0,51,18,5,0,0,0,Welterweight,U-DEC,,3,5:00
"June 22, 2012","Atlantic City, New Jersey, USA",win,Steven Siler,Joey Gambino,0,0,12,5,1,0,1,0,Featherweight,SUB,Guillotine Choke,1,2:47
"June 22, 2012","Atlantic City, New Jersey, USA",win,Chris Camozzi,Nick Catone,0,0,34,14,0,2,0,0,Middleweight,KO/TKO,,3,1:51
"June 22, 2012","Atlantic City, New Jersey, USA",win,Matt Brown,Luis Ramos,0,0,52,20,0,1,0,0,Welterweight,KO/TKO,Knees,2,4:20
"June 22, 2012","Atlantic City, New Jersey, USA",win,Dan Miller,Ricardo Funch,1,0,57,72,0,2,3,0,Welterweight,SUB,Guillotine Choke,3,3:12
"June 22, 2012","Atlantic City, New Jersey, USA",win,Ken Stone,Dustin Pague,0,0,63,41,0,0,0,0,Bantamweight,S-DEC,,3,5:00
