Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Charles Oliveira,Kevin Lee,0,0,43,41,0,2,2,0,Lightweight,SUB,Guillotine Choke,3,0:28
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Gilbert Burns,Demian Maia,1,0,13,4,0,2,0,0,Welterweight,KO/TKO,Punch,1,2:34
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Renato Moicano,Damir Hadzovic,0,0,1,1,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,0:44
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Nikita Krylov,Johnny Walker,0,0,45,37,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Francisco Trinaldo,John Makdessi,0,0,55,67,0,0,0,0,Lightweight,U-DEC,,3,5:00
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Brandon Moreno,Jussier Formiga,0,0,33,15,0,1,0,1,Flyweight,U-DEC,,3,5:00
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Amanda Ribas,Randa Markos,0,0,85,36,1,1,2,0,Women's Strawweight,U-DEC,,3,5:00
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Elizeu Zaleski dos Santos,Aleksei Kunchenko,0,0,62,57,2,0,0,0,Welterweight,U-DEC,,3,5:00
"March 14, 2020","Brasilia, Distrito Federal, Brazil",drawdraw,Rani Yahya,Enrique Barzola,0,0,24,57,2,1,0,1,Bantamweight,M-DEC,,3,5:00
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Maryna Moroz,Mayra Bueno Silva,0,0,139,88,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,David Dvorak,Bruno Silva,0,0,67,45,0,3,0,0,Flyweight,U-DEC,,3,5:00
"March 14, 2020","Brasilia, Distrito Federal, Brazil",win,Bea Malecki,Veronica Hardy,0,0,130,93,0,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
