Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 27, 2013","Seattle, Washington, USA",win,Demetrious Johnson,John Moraga,0,0,67,32,12,1,3,0,Flyweight,SUB,Armbar,5,3:43
"July 27, 2013","Seattle, Washington, USA",win,Rory MacDonald,Jake Ellenberger,0,0,46,19,0,1,0,0,Welterweight,U-DEC,,3,5:00
"July 27, 2013","Seattle, Washington, USA",win,Robbie Lawler,Bobby Voelker,1,0,28,10,1,0,0,0,Welterweight,KO/TKO,Kick,2,0:24
"July 27, 2013","Seattle, Washington, USA",win,Liz Carmouche,Jessica Andrade,0,0,50,10,3,1,1,1,Women's Bantamweight,KO/TKO,Punches,2,3:57
"July 27, 2013","Seattle, Washington, USA",win,Jorge Masvidal,Michael Chiesa,0,1,24,24,0,2,2,0,Lightweight,SUB,D'Arce Choke,2,4:59
"July 27, 2013","Seattle, Washington, USA",win,Danny Castillo,Tim Means,0,0,25,38,6,0,0,0,Lightweight,U-DEC,,3,5:00
"July 27, 2013","Seattle, Washington, USA",win,Melvin Guillard,Mac Danzig,1,0,39,23,0,0,0,0,Lightweight,KO/TKO,Punch,2,2:47
"July 27, 2013","Seattle, Washington, USA",win,Daron Cruickshank,Yves Edwards,0,0,44,48,0,0,0,0,Lightweight,S-DEC,,3,5:00
"July 27, 2013","Seattle, Washington, USA",win,Ed Herman,Trevor Smith,0,0,73,87,2,1,1,1,Middleweight,S-DEC,,3,5:00
"July 27, 2013","Seattle, Washington, USA",win,Germaine de Randamie,Julie Kedzie,0,0,50,28,0,2,0,0,Women's Bantamweight,S-DEC,,3,5:00
"July 27, 2013","Seattle, Washington, USA",win,Justin Salas,Aaron Riley,0,0,54,26,3,0,0,0,Lightweight,S-DEC,,3,5:00
"July 27, 2013","Seattle, Washington, USA",win,Yaotzin Meza,John Albert,0,0,4,4,1,0,4,3,Bantamweight,SUB,Rear Naked Choke,2,2:49
