Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 05, 2014","Las Vegas, Nevada, USA",win,Chris Weidman,Lyoto Machida,0,0,65,58,5,0,0,0,Middleweight,U-DEC,,5,5:00
"July 05, 2014","Las Vegas, Nevada, USA",win,Ronda Rousey,Alexis Davis,0,0,14,2,1,0,0,0,Women's Bantamweight,KO/TKO,Punches,1,0:16
"July 05, 2014","Las Vegas, Nevada, USA",win,Uriah Hall,Thiago Santos,0,0,42,44,1,0,1,0,Middleweight,U-DEC,,3,5:00
"July 05, 2014","Las Vegas, Nevada, USA",win,Russell Doane,Marcus Brimage,0,0,24,27,3,2,0,0,Bantamweight,S-DEC,,3,5:00
"July 05, 2014","Las Vegas, Nevada, USA",win,Urijah Faber,Alex Caceres,0,0,20,20,5,0,1,0,Bantamweight,SUB,Rear Naked Choke,3,1:09
"July 05, 2014","Las Vegas, Nevada, USA",win,Kenny Robertson,Ildemar Alcantara,0,0,70,22,3,1,2,0,Welterweight,U-DEC,,3,5:00
"July 05, 2014","Las Vegas, Nevada, USA",win,Bruno Santos,Chris Camozzi,0,0,25,42,4,0,0,1,Middleweight,S-DEC,,3,5:00
"July 05, 2014","Las Vegas, Nevada, USA",win,Rob Font,George Roop,1,0,12,10,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:19
"July 05, 2014","Las Vegas, Nevada, USA",win,Luke Zachrich,Guilherme Vasconcelos,0,0,66,49,1,0,0,0,Middleweight,U-DEC,,3,5:00
"July 05, 2014","Las Vegas, Nevada, USA",ncnc,Kevin Casey,Bubba Bush,1,0,15,2,0,0,0,0,Middleweight,Overturned,Elbows,1,1:01
