Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 25, 2014","Rio de Janeiro, Brazil",win,Jose Aldo,Chad Mendes,1,0,102,77,0,1,0,0,Featherweight,U-DEC,,5,5:00
"October 25, 2014","Rio de Janeiro, Brazil",win,Phil Davis,Glover Teixeira,0,0,49,9,9,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"October 25, 2014","Rio de Janeiro, Brazil",win,Fabio Maldonado,Hans Stringer,0,0,28,33,0,3,0,0,Light Heavyweight,KO/TKO,Punches,2,4:06
"October 25, 2014","Rio de Janeiro, Brazil",win,Darren Elkins,Lucas Martins,0,0,47,26,1,0,0,1,Featherweight,S-DEC,,3,5:00
"October 25, 2014","Rio de Janeiro, Brazil",win,Beneil Dariush,Diego Ferreira,0,0,32,21,3,0,0,0,Lightweight,U-DEC,,3,5:00
"October 25, 2014","Rio de Janeiro, Brazil",win,Neil Magny,William Macario,0,0,65,24,2,0,0,0,Welterweight,KO/TKO,Punches,3,2:40
"October 25, 2014","Rio de Janeiro, Brazil",win,Yan Cabral,Naoyuki Kotani,0,0,11,5,2,1,1,0,Lightweight,SUB,Rear Naked Choke,2,3:06
"October 25, 2014","Rio de Janeiro, Brazil",win,Wilson Reis,Scott Jorgensen,0,1,13,6,1,0,1,0,Flyweight,SUB,Arm Triangle,1,3:28
"October 25, 2014","Rio de Janeiro, Brazil",win,Andre Fili,Felipe Arantes,0,0,42,29,5,3,1,1,Featherweight,U-DEC,,3,5:00
"October 25, 2014","Rio de Janeiro, Brazil",win,Gilbert Burns,Christos Giagos,0,0,7,4,1,0,2,0,Lightweight,SUB,Armbar,1,4:57
"October 25, 2014","Rio de Janeiro, Brazil",win,Anthony Rocco Martin,Fabricio Camoes,0,0,1,1,1,0,3,0,Lightweight,SUB,Kimura,1,4:16
