Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 10, 2014","Cincinnati, Ohio, USA",win,Matt Brown,Erick Silva,0,1,118,25,5,0,4,1,Welterweight,KO/TKO,Punches,3,2:11
"May 10, 2014","Cincinnati, Ohio, USA",win,Constantinos Philippou,Lorenz Larkin,1,0,15,16,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:47
"May 10, 2014","Cincinnati, Ohio, USA",win,Daron Cruickshank,Erik Koch,1,0,24,6,0,0,0,0,Lightweight,KO/TKO,Kick,1,3:21
"May 10, 2014","Cincinnati, Ohio, USA",win,Neil Magny,Tim Means,0,0,29,30,4,3,0,1,Welterweight,U-DEC,,3,5:00
"May 10, 2014","Cincinnati, Ohio, USA",win,Soa Palelei,Ruan Potts,0,0,5,0,1,0,0,2,Heavyweight,KO/TKO,Punch,1,2:20
"May 10, 2014","Cincinnati, Ohio, USA",win,Chris Cariaso,Louis Smolka,0,0,64,42,2,1,4,0,Flyweight,S-DEC,,3,5:00
"May 10, 2014","Cincinnati, Ohio, USA",win,Ed Herman,Rafael Natal,0,0,51,35,1,1,0,0,Middleweight,U-DEC,,3,5:00
"May 10, 2014","Cincinnati, Ohio, USA",win,Kyoji Horiguchi,Darrell Montague,1,0,65,26,2,1,0,2,Flyweight,U-DEC,,3,5:00
"May 10, 2014","Cincinnati, Ohio, USA",win,Zak Cummings,Yan Cabral,0,0,28,23,3,1,1,2,Welterweight,U-DEC,,3,5:00
"May 10, 2014","Cincinnati, Ohio, USA",win,Johnny Eduardo,Eddie Wineland,1,0,11,6,0,0,0,0,Bantamweight,KO/TKO,Punch,1,4:37
"May 10, 2014","Cincinnati, Ohio, USA",win,Nik Lentz,Manvel Gamburyan,0,0,52,28,4,1,0,1,Featherweight,U-DEC,,3,5:00
"May 10, 2014","Cincinnati, Ohio, USA",win,Justin Salas,Ben Wall,1,0,20,4,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:41
"May 10, 2014","Cincinnati, Ohio, USA",win,Albert Tumenov,Anthony Lapsley,2,0,6,2,0,0,0,0,Welterweight,KO/TKO,Punch,1,3:56
