Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 05, 2012","East Rutherford, New Jersey, USA",win,Nate Diaz,Jim Miller,0,0,46,25,0,1,2,0,Lightweight,SUB,Guillotine Choke,2,4:09
"May 05, 2012","East Rutherford, New Jersey, USA",win,Johny Hendricks,Josh Koscheck,0,0,55,33,2,1,0,0,Welterweight,S-DEC,,3,5:00
"May 05, 2012","East Rutherford, New Jersey, USA",win,Alan Belcher,Rousimar Palhares,0,0,20,0,0,1,1,1,Middleweight,KO/TKO,Punches,1,4:18
"May 05, 2012","East Rutherford, New Jersey, USA",win,Lavar Johnson,Pat Barry,1,0,39,15,0,0,0,1,Heavyweight,KO/TKO,Punches,1,4:38
"May 05, 2012","East Rutherford, New Jersey, USA",win,Michael Johnson,Tony Ferguson,1,0,67,45,0,0,0,0,Lightweight,U-DEC,,3,5:00
"May 05, 2012","East Rutherford, New Jersey, USA",win,John Dodson,Tim Elliott,0,0,80,79,2,0,0,0,Flyweight,U-DEC,,3,5:00
"May 05, 2012","East Rutherford, New Jersey, USA",win,John Hathaway,Pascal Krauss,1,0,68,33,2,1,0,0,Welterweight,U-DEC,,3,5:00
"May 05, 2012","East Rutherford, New Jersey, USA",win,Louis Gaudinot,John Lineker,0,0,65,96,2,0,1,0,Flyweight,SUB,Guillotine Choke,2,4:54
"May 05, 2012","East Rutherford, New Jersey, USA",win,Danny Castillo,John Cholish,0,0,52,29,1,1,0,0,Lightweight,U-DEC,,3,5:00
"May 05, 2012","East Rutherford, New Jersey, USA",win,Dennis Bermudez,Pablo Garza,0,0,45,27,8,0,1,0,Featherweight,U-DEC,,3,5:00
"May 05, 2012","East Rutherford, New Jersey, USA",win,Roland Delorme,Nick Denis,0,0,26,24,1,1,2,0,Bantamweight,SUB,Rear Naked Choke,1,4:59
"May 05, 2012","East Rutherford, New Jersey, USA",win,Karlos Vemola,Mike Massenzio,0,0,16,11,2,1,2,0,Middleweight,SUB,Rear Naked Choke,2,1:07
