Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 11, 2023","New York City, New York, USA",win,Alex Pereira,Jiri Prochazka,1,0,38,30,0,1,1,0,Light Heavyweight,KO/TKO,Elbows,2,4:08
"November 11, 2023","New York City, New York, USA",win,Tom Aspinall,Sergei Pavlovich,1,0,10,1,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:09
"November 11, 2023","New York City, New York, USA",win,Jessica Andrade,Mackenzie Dern,4,0,53,49,0,0,0,0,Women's Strawweight,KO/TKO,Punch,2,3:15
"November 11, 2023","New York City, New York, USA",win,Benoit Saint Denis,Matt Frevola,1,0,6,5,0,2,0,0,Lightweight,KO/TKO,Kick,1,1:31
"November 11, 2023","New York City, New York, USA",win,Diego Lopes,Pat Sabatini,1,0,13,7,0,0,0,0,Featherweight,KO/TKO,Punches,1,1:30
"November 11, 2023","New York City, New York, USA",win,Steve Erceg,Alessandro Costa,0,0,74,54,1,1,1,0,Flyweight,U-DEC,,3,5:00
"November 11, 2023","New York City, New York, USA",win,Loopy Godinez,Tabatha Ricci,0,0,98,84,0,0,0,0,Women's Strawweight,S-DEC,,3,5:00
"November 11, 2023","New York City, New York, USA",win,Mateusz Rebecki,Roosevelt Roberts,0,0,10,2,2,0,1,0,Lightweight,SUB,Armbar,1,3:08
"November 11, 2023","New York City, New York, USA",drawdraw,Nazim Sadykhov,Viacheslav Borshchev,1,0,91,143,4,0,0,0,Lightweight,M-DEC,,3,5:00
"November 11, 2023","New York City, New York, USA",win,Jared Gordon,Mark Madsen,1,0,36,35,0,0,0,0,Lightweight,KO/TKO,Punch,1,4:42
"November 11, 2023","New York City, New York, USA",win,John Castaneda,Kyung Ho Kang,0,0,111,88,3,0,0,0,Catch Weight,U-DEC,,3,5:00
"November 11, 2023","New York City, New York, USA",win,Joshua Van,Kevin Borjas,0,0,156,75,2,0,0,0,Flyweight,U-DEC,,3,5:00
"November 11, 2023","New York City, New York, USA",win,Jamall Emmers,Dennis Buzukja,1,0,14,3,0,0,0,0,Featherweight,KO/TKO,Punch,1,0:49
