Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 08, 1995","Buffalo, New York, USA",win,Marco Ruas,Paul Varelans,1,0,33,10,0,0,0,1,Open Weight,KO/TKO,Kicks,1,13:17
"September 08, 1995","Buffalo, New York, USA",drawdraw,Ken Shamrock,Oleg Taktarov,0,0,29,4,1,0,1,0,Open Weight,Other,,2,3:00
"September 08, 1995","Buffalo, New York, USA",win,Marco Ruas,Remco Pardoel,0,0,4,2,0,1,2,2,Open Weight,SUB,Other,1,12:27
"September 08, 1995","Buffalo, New York, USA",win,Paul Varelans,Mark Hall,0,0,2,2,1,0,2,0,Open Weight,SUB,Keylock,1,1:01
"September 08, 1995","Buffalo, New York, USA",win,Marco Ruas,Larry Cureton,0,0,1,6,1,0,3,1,Open Weight,SUB,Heel Hook,1,3:23
"September 08, 1995","Buffalo, New York, USA",win,Remco Pardoel,Ryan Parker,0,0,0,0,1,0,1,0,Open Weight,SUB,Gi Choke,1,3:05
"September 08, 1995","Buffalo, New York, USA",win,Mark Hall,Harold Howard,0,0,1,4,0,1,0,0,Open Weight,KO/TKO,Punches,1,1:41
"September 08, 1995","Buffalo, New York, USA",win,Paul Varelans,Gerry Harris,0,0,4,0,1,0,0,0,Open Weight,KO/TKO,Elbows,1,1:05
"September 08, 1995","Buffalo, New York, USA",win,Scott Bessac,David Hood,0,0,1,2,0,0,2,0,Open Weight,SUB,Guillotine Choke,1,0:31
"September 08, 1995","Buffalo, New York, USA",win,Onassis Parungao,Francesco Maturi,--,--,--,--,--,--,--,--,Open Weight,KO/TKO,,1,5:26
"September 08, 1995","Buffalo, New York, USA",win,Joel Sutton,Geza Kalman,--,--,--,--,--,--,--,--,Open Weight,KO/TKO,,1,0:48
