Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Ryan Bader,Rogerio Nogueira,0,0,86,3,5,0,1,0,Light Heavyweight,KO/TKO,Punches,3,3:51
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Thomas Almeida,Albert Morales,1,0,41,18,0,1,0,0,Bantamweight,KO/TKO,Punches,2,1:37
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Claudia Gadelha,Cortney Casey,0,0,34,22,6,0,1,0,Women's Strawweight,U-DEC,,3,5:00
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Krzysztof Jotko,Thales Leites,0,0,42,4,1,1,0,1,Middleweight,U-DEC,,3,5:00
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Kamaru Usman,Warlley Alves,0,0,71,25,1,0,1,1,Welterweight,U-DEC,,3,5:00
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Sergio Moraes,Zak Ottow,0,0,35,44,1,0,0,0,Welterweight,S-DEC,,3,5:00
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Cezar Ferreira,Jack Hermansson,0,0,10,14,1,0,1,0,Middleweight,SUB,Arm Triangle,2,2:11
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Gadzhimurad Antigulov,Marcos Rogerio de Lima,0,0,0,2,1,0,1,0,Light Heavyweight,SUB,Guillotine Choke,1,1:07
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Johnny Eduardo,Manvel Gamburyan,1,0,26,11,0,0,0,0,Bantamweight,KO/TKO,Punch,2,0:46
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Luis Henrique,Christian Colombo,0,0,31,3,6,0,2,0,Heavyweight,SUB,Guillotine Choke,3,2:12
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,Pedro Munhoz,Justin Scoggins,0,0,28,44,0,1,1,0,Bantamweight,SUB,Guillotine Choke,2,1:55
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",ncnc,Francimar Barroso,Darren Stewart,0,0,0,7,0,1,0,0,Light Heavyweight,Overturned,,1,1:34
