Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 09, 2013","Goiania, Goias, Brazil",win,Vitor Belfort,Dan Henderson,2,0,12,1,0,0,0,0,Light Heavyweight,KO/TKO,Kick,1,1:17
"November 09, 2013","Goiania, Goias, Brazil",win,Cezar Ferreira,Daniel Sarafian,0,0,15,21,3,0,0,0,Middleweight,S-DEC,,3,5:00
"November 09, 2013","Goiania, Goias, Brazil",win,Rafael Cavalcante,Igor Pokrajac,1,0,16,9,0,0,0,0,Light Heavyweight,KO/TKO,Knee,1,1:18
"November 09, 2013","Goiania, Goias, Brazil",win,Brandon Thatch,Paulo Thiago,1,0,12,5,0,1,0,0,Welterweight,KO/TKO,Knee,1,2:10
"November 09, 2013","Goiania, Goias, Brazil",win,Ryan LaFlare,Santiago Ponzinibbio,1,1,75,25,5,0,0,0,Welterweight,U-DEC,,3,5:00
"November 09, 2013","Goiania, Goias, Brazil",win,Jeremy Stephens,Rony Jason,1,0,3,1,0,0,0,0,Featherweight,KO/TKO,Kick,1,0:40
"November 09, 2013","Goiania, Goias, Brazil",win,Sam Sicilia,Godofredo Pepey,0,0,11,3,1,0,0,0,Featherweight,KO/TKO,Punches,1,1:42
"November 09, 2013","Goiania, Goias, Brazil",win,Omari Akhmedov,Thiago Perpetuo,1,1,14,18,1,1,1,0,Middleweight,KO/TKO,Punch,1,3:31
"November 09, 2013","Goiania, Goias, Brazil",win,Thiago Tavares,Justin Salas,0,0,7,4,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,2:38
"November 09, 2013","Goiania, Goias, Brazil",win,Adriano Martins,Daron Cruickshank,0,0,16,8,1,0,1,0,Lightweight,SUB,Straight Armbar,2,2:49
"November 09, 2013","Goiania, Goias, Brazil",win,Dustin Ortiz,Jose Maria,0,0,55,43,4,2,0,2,Flyweight,KO/TKO,Punches,3,3:19
