Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 11, 2015","Krakow, Poland",win,Mirko Filipovic,Gabriel Gonzaga,0,0,21,19,0,2,0,1,Heavyweight,KO/TKO,Elbows,3,3:30
"April 11, 2015","Krakow, Poland",win,Jimi Manuwa,Jan Blachowicz,0,0,43,44,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"April 11, 2015","Krakow, Poland",win,Pawel Pawlak,Sheldon Westcott,0,0,30,17,3,3,0,0,Welterweight,U-DEC,,3,5:00
"April 11, 2015","Krakow, Poland",win,Maryna Moroz,Joanne Wood,0,0,12,11,0,0,1,0,Women's Strawweight,SUB,Armbar,1,1:30
"April 11, 2015","Krakow, Poland",win,Leon Edwards,Seth Baczynski,1,0,3,0,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:08
"April 11, 2015","Krakow, Poland",win,Bartosz Fabinski,Garreth McLellan,0,0,41,13,10,0,0,2,Middleweight,U-DEC,,3,5:00
"April 11, 2015","Krakow, Poland",win,Sergio Moraes,Mickael Lebout,0,0,51,47,2,0,0,0,Welterweight,U-DEC,,3,5:00
"April 11, 2015","Krakow, Poland",win,Yaotzin Meza,Damian Stasiak,0,0,17,14,2,1,3,1,Featherweight,U-DEC,,3,5:00
"April 11, 2015","Krakow, Poland",win,Anthony Hamilton,Daniel Omielanczuk,0,0,83,36,3,1,0,0,Heavyweight,U-DEC,,3,5:00
"April 11, 2015","Krakow, Poland",win,Aleksandra Albu,Izabela Badurek,0,0,42,32,0,1,1,0,Women's Strawweight,SUB,Guillotine Choke,2,3:34
"April 11, 2015","Krakow, Poland",win,Stevie Ray,Marcin Bandel,0,0,31,3,0,0,2,0,Lightweight,KO/TKO,Punches,2,1:35
"April 11, 2015","Krakow, Poland",win,Taylor Lapilus,Rocky Lee,0,0,80,37,2,1,1,0,Featherweight,U-DEC,,3,5:00
