Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 13, 2017","Dallas, Texas, USA",win,Stipe Miocic,Junior Dos Santos,1,0,26,12,0,0,0,0,Heavyweight,KO/TKO,Punch,1,2:22
"May 13, 2017","Dallas, Texas, USA",win,Joanna Jedrzejczyk,Jessica Andrade,0,0,225,83,0,2,0,0,Women's Strawweight,U-DEC,,5,5:00
"May 13, 2017","Dallas, Texas, USA",win,Demian Maia,Jorge Masvidal,0,0,23,39,4,0,0,0,Welterweight,S-DEC,,3,5:00
"May 13, 2017","Dallas, Texas, USA",win,Frankie Edgar,Yair Rodriguez,0,0,72,16,1,0,0,1,Featherweight,KO/TKO,,2,5:00
"May 13, 2017","Dallas, Texas, USA",win,David Branch,Krzysztof Jotko,0,0,39,28,2,1,0,0,Middleweight,S-DEC,,3,5:00
"May 13, 2017","Dallas, Texas, USA",ncnc,Eddie Alvarez,Dustin Poirier,0,0,44,73,1,0,0,2,Lightweight,CNC,,2,4:02
"May 13, 2017","Dallas, Texas, USA",win,Jason Knight,Chas Skelly,1,0,59,29,2,1,3,0,Featherweight,KO/TKO,Punch,3,0:39
"May 13, 2017","Dallas, Texas, USA",win,Chase Sherman,Rashad Coulter,1,0,103,36,0,0,0,0,Heavyweight,KO/TKO,Elbow,2,3:36
"May 13, 2017","Dallas, Texas, USA",win,James Vick,Marco Polo Reyes,1,0,20,16,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:39
"May 13, 2017","Dallas, Texas, USA",win,Cortney Casey,Jessica Aguilar,0,0,103,57,0,4,0,0,Women's Strawweight,U-DEC,,3,5:00
"May 13, 2017","Dallas, Texas, USA",win,Enrique Barzola,Gabriel Benitez,0,0,46,51,9,0,1,0,Featherweight,U-DEC,,3,5:00
"May 13, 2017","Dallas, Texas, USA",win,Gadzhimurad Antigulov,Joachim Christensen,0,0,2,1,1,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,1,2:21
