Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Jan Blachowicz,Corey Anderson,1,0,13,11,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:08
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Diego Sanchez,Michel Pereira,0,1,25,53,0,2,0,0,Welterweight,DQ,,3,3:09
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Montana De La Rosa,Mara Romero Borella,1,0,27,23,1,1,1,0,Women's Flyweight,U-DEC,,3,5:00
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Brok Weaver,Kazula Vargas,0,0,5,15,0,1,1,0,Lightweight,DQ,,1,4:02
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Ray Borg,Rogerio Bontorin,0,0,35,9,10,0,0,0,Flyweight,U-DEC,,3,5:00
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Lando Vannata,Yancy Medeiros,0,0,99,68,0,0,0,0,Lightweight,U-DEC,,3,5:00
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Daniel Rodriguez,Tim Means,1,0,49,41,0,1,1,0,Welterweight,SUB,Guillotine Choke,2,3:37
"February 15, 2020","Rio Rancho, New Mexico, USA",win,John Dodson,Nathaniel Wood,1,0,39,46,0,1,0,0,Bantamweight,KO/TKO,Punch,3,0:16
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Scott Holtzman,Jim Miller,0,0,88,58,1,0,0,0,Lightweight,U-DEC,,3,5:00
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Devin Clark,Dequan Townsend,0,0,39,6,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Merab Dvalishvili,Casey Kenney,0,0,63,45,12,0,0,0,Bantamweight,U-DEC,,3,5:00
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Macy Chiasson,Shanna Young,0,0,86,40,3,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"February 15, 2020","Rio Rancho, New Mexico, USA",win,Raulian Paiva,Mark De La Rosa,1,0,54,45,0,0,0,0,Flyweight,KO/TKO,Punch,2,4:42
