Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 11, 2024","St. Louis, Missouri, USA",win,Derrick Lewis,Rodrigo Nascimento,1,0,41,27,1,1,0,0,Heavyweight,KO/TKO,Punch,3,0:49
"May 11, 2024","St. Louis, Missouri, USA",win,Joaquin Buckley,Nursulton Ruziboev,1,0,86,31,4,0,0,0,Welterweight,U-DEC,,3,5:00
"May 11, 2024","St. Louis, Missouri, USA",win,Carlos Ulberg,Alonzo Menifield,1,0,7,1,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:12
"May 11, 2024","St. Louis, Missouri, USA",win,Diego Ferreira,Mateusz Rebecki,0,1,123,52,3,4,0,0,Lightweight,KO/TKO,Punches,3,4:51
"May 11, 2024","St. Louis, Missouri, USA",win,Sean Woodson,Alex Caceres,0,0,101,82,0,0,0,0,Featherweight,U-DEC,,3,5:00
"May 11, 2024","St. Louis, Missouri, USA",win,Waldo Cortes-Acosta,Robelis Despaigne,0,0,52,26,3,0,1,0,Heavyweight,U-DEC,,3,5:00
"May 11, 2024","St. Louis, Missouri, USA",win,Chase Hooper,Viacheslav Borshchev,1,0,62,2,1,0,2,0,Lightweight,SUB,D'Arce Choke,2,3:00
"May 11, 2024","St. Louis, Missouri, USA",win,Esteban Ribovics,Terrance McKinney,1,0,5,5,0,0,0,0,Lightweight,KO/TKO,Kick,1,0:37
"May 11, 2024","St. Louis, Missouri, USA",win,Tabatha Ricci,Tecia Pennington,0,0,54,80,1,0,0,0,Women's Strawweight,S-DEC,,3,5:00
"May 11, 2024","St. Louis, Missouri, USA",win,Trey Waters,Billy Ray Goff,0,0,96,116,0,1,1,0,Welterweight,U-DEC,,3,5:00
"May 11, 2024","St. Louis, Missouri, USA",win,Charles Johnson,Jake Hadley,1,0,70,48,0,0,0,0,Flyweight,U-DEC,,3,5:00
"May 11, 2024","St. Louis, Missouri, USA",win,Veronica Hardy,JJ Aldrich,0,0,36,27,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00
