Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 09, 2023","Las Vegas, Nevada, USA",win,Song Yadong,Chris Gutierrez,0,0,77,87,2,0,0,0,Bantamweight,U-DEC,,5,5:00
"December 09, 2023","Las Vegas, Nevada, USA",win,Khalil Rountree Jr.,Anthony Smith,1,0,53,47,0,0,0,0,Light Heavyweight,KO/TKO,Punch,3,0:56
"December 09, 2023","Las Vegas, Nevada, USA",win,Nasrat Haqparast,Jamie Mullarkey,2,0,16,8,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:44
"December 09, 2023","Las Vegas, Nevada, USA",win,Tim Elliott,Sumudaerji,0,0,10,10,1,0,1,0,Bantamweight,SUB,Arm Triangle,1,4:02
"December 09, 2023","Las Vegas, Nevada, USA",win,Andre Muniz,JunYong Park,0,0,14,27,11,0,0,0,Middleweight,S-DEC,,3,5:00
"December 09, 2023","Las Vegas, Nevada, USA",win,Kevin Jousset,Song Kenan,0,0,134,62,1,0,0,0,Welterweight,U-DEC,,3,5:00
"December 09, 2023","Las Vegas, Nevada, USA",win,HyunSung Park,Shannon Ross,2,0,50,47,0,0,0,0,Flyweight,KO/TKO,Punch,2,3:59
"December 09, 2023","Las Vegas, Nevada, USA",win,Steve Garcia,Melquizael Costa,1,0,29,6,0,2,1,0,Lightweight,KO/TKO,Elbows,2,1:01
"December 09, 2023","Las Vegas, Nevada, USA",win,Luana Santos,Stephanie Egger,0,0,53,44,2,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"December 09, 2023","Las Vegas, Nevada, USA",win,Tatsuro Taira,Carlos Hernandez,1,0,33,2,0,0,0,0,Flyweight,KO/TKO,Punches,2,0:55
"December 09, 2023","Las Vegas, Nevada, USA",win,Talita Alencar,Rayanne dos Santos,0,0,36,57,1,0,0,0,Women's Strawweight,S-DEC,,3,5:00
