Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 02, 2013","Las Vegas, Nevada, USA",win,Jose Aldo,Frankie Edgar,0,0,76,60,0,2,0,0,Featherweight,U-DEC,,5,5:00
"February 02, 2013","Las Vegas, Nevada, USA",win,Rogerio Nogueira,Rashad Evans,0,0,40,22,0,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 02, 2013","Las Vegas, Nevada, USA",win,Antonio Silva,Alistair Overeem,1,0,21,51,0,1,0,0,Heavyweight,KO/TKO,Punches,3,0:25
"February 02, 2013","Las Vegas, Nevada, USA",win,Demian Maia,Jon Fitch,0,0,12,6,7,0,3,1,Welterweight,U-DEC,,3,5:00
"February 02, 2013","Las Vegas, Nevada, USA",win,Joseph Benavidez,Ian McCall,0,0,57,40,0,1,0,0,Flyweight,U-DEC,,3,5:00
"February 02, 2013","Las Vegas, Nevada, USA",win,Evan Dunham,Gleison Tibau,0,0,91,37,0,2,0,1,Lightweight,S-DEC,,3,5:00
"February 02, 2013","Las Vegas, Nevada, USA",win,Tyron Woodley,Jay Hieron,1,0,15,0,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:36
"February 02, 2013","Las Vegas, Nevada, USA",win,King Green,Jacob Volkmann,0,0,54,6,1,4,1,0,Lightweight,SUB,Rear Naked Choke,3,4:25
"February 02, 2013","Las Vegas, Nevada, USA",win,Isaac Vallie-Flagg,Yves Edwards,0,0,76,58,0,1,0,0,Lightweight,S-DEC,,3,5:00
"February 02, 2013","Las Vegas, Nevada, USA",win,Dustin Kimura,Chico Camus,0,0,16,23,0,1,5,0,Bantamweight,SUB,Rear Naked Choke,3,1:50
"February 02, 2013","Las Vegas, Nevada, USA",win,Francisco Rivera,Edwin Figueroa,1,1,51,24,2,1,0,0,Bantamweight,KO/TKO,Punches,2,4:20
