Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Tony Ferguson,Rafael Dos Anjos,0,0,199,121,0,0,0,0,Lightweight,U-DEC,,5,5:00
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Diego Sanchez,Marcin Held,0,0,46,30,0,0,0,1,Lightweight,U-DEC,,3,5:00
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Ricardo Lamas,Charles Oliveira,0,0,11,13,1,2,1,2,Featherweight,SUB,Guillotine Choke,2,2:13
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Martin Bravo,Claudio Puelles,1,0,56,29,0,1,0,0,Lightweight,KO/TKO,Punch,2,1:55
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Beneil Dariush,Rashid Magomedov,0,0,60,41,0,1,0,0,Lightweight,U-DEC,,3,5:00
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Alexa Grasso,Heather Clark,0,0,65,40,1,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Erik Perez,Felipe Arantes,0,0,36,34,3,0,0,2,Bantamweight,S-DEC,,3,5:00
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Joe Soto,Marco Beltran,0,0,2,3,1,0,1,0,Catch Weight,SUB,Heel Hook,1,1:37
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Max Griffin,Erick Montano,0,0,15,3,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:54
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Douglas Silva de Andrade,Henry Briones,1,0,72,67,1,0,0,0,Bantamweight,KO/TKO,Spinning Back Fist,3,2:33
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Sam Alvey,Alex Nicholson,0,0,63,82,0,0,0,0,Middleweight,U-DEC,,3,5:00
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Marco Polo Reyes,Jason Novelli,0,0,50,29,0,1,0,0,Lightweight,S-DEC,,3,5:00
"November 05, 2016","Mexico City, Distrito Federal, Mexico",win,Enrique Barzola,Chris Avila,0,0,72,29,7,0,0,0,Featherweight,U-DEC,,3,5:00
