Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 26, 2013","Manchester, England, United Kingdom",win,Lyoto Machida,Mark Munoz,1,0,5,0,0,0,0,0,Middleweight,KO/TKO,Kick,1,3:10
"October 26, 2013","Manchester, England, United Kingdom",ncnc,Ross Pearson,Melvin Guillard,0,0,3,9,0,0,0,0,Lightweight,CNC,,1,1:57
"October 26, 2013","Manchester, England, United Kingdom",win,Jimi Manuwa,Ryan Jimmo,0,0,48,36,0,0,0,0,Light Heavyweight,KO/TKO,,2,4:41
"October 26, 2013","Manchester, England, United Kingdom",win,Norman Parke,Jon Tuck,0,0,81,67,1,0,0,0,Lightweight,U-DEC,,3,5:00
"October 26, 2013","Manchester, England, United Kingdom",win,Nicholas Musoke,Alessio Sakara,0,0,12,20,1,1,1,0,Middleweight,SUB,Armbar,1,3:07
"October 26, 2013","Manchester, England, United Kingdom",win,John Lineker,Phil Harris,3,0,31,14,0,0,0,0,Flyweight,KO/TKO,Punch,1,2:51
"October 26, 2013","Manchester, England, United Kingdom",win,Al Iaquinta,Piotr Hallmann,0,0,85,66,2,3,0,0,Lightweight,U-DEC,,3,5:00
"October 26, 2013","Manchester, England, United Kingdom",win,Luke Barnatt,Andrew Craig,2,0,39,26,1,0,1,0,Middleweight,SUB,Rear Naked Choke,2,2:12
"October 26, 2013","Manchester, England, United Kingdom",win,Jessica Andrade,Rosi Sexton,0,0,206,88,1,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"October 26, 2013","Manchester, England, United Kingdom",win,Cole Miller,Andy Ogle,0,0,21,27,0,2,1,0,Featherweight,U-DEC,,3,5:00
"October 26, 2013","Manchester, England, United Kingdom",win,Jimy Hettes,Robert Whiteford,0,0,5,15,3,0,2,0,Featherweight,SUB,Triangle Choke,2,2:17
"October 26, 2013","Manchester, England, United Kingdom",win,Brad Scott,Michael Kuiper,0,0,14,7,0,1,2,0,Middleweight,SUB,Guillotine Choke,1,4:17
