Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 14, 2022","Las Vegas, Nevada, USA",win,Jan Blachowicz,Aleksandar Rakic,0,0,31,27,0,1,1,0,Light Heavyweight,KO/TKO,,3,1:11
"May 14, 2022","Las Vegas, Nevada, USA",win,Ryan Spann,Ion Cutelaba,0,0,4,2,0,3,1,0,Light Heavyweight,SUB,Guillotine Choke,1,2:22
"May 14, 2022","Las Vegas, Nevada, USA",win,Davey Grant,Louis Smolka,1,0,81,71,0,0,0,0,Bantamweight,KO/TKO,Punches,3,0:49
"May 14, 2022","Las Vegas, Nevada, USA",win,Katlyn Cerminara,Amanda Ribas,0,0,63,55,0,3,0,0,Women's Flyweight,S-DEC,,3,5:00
"May 14, 2022","Las Vegas, Nevada, USA",win,Manuel Torres,Frank Camacho,1,0,34,16,0,0,0,0,Lightweight,KO/TKO,Punches,1,3:27
"May 14, 2022","Las Vegas, Nevada, USA",win,Allan Nascimento,Jake Hadley,0,0,19,8,2,0,0,1,Flyweight,U-DEC,,3,5:00
"May 14, 2022","Las Vegas, Nevada, USA",win,Viviane Araujo,Andrea Lee,0,1,39,47,3,1,2,0,Women's Flyweight,U-DEC,,3,5:00
"May 14, 2022","Las Vegas, Nevada, USA",win,Michael Johnson,Alan Patrick,1,0,30,22,1,0,0,0,Lightweight,KO/TKO,Punch,2,3:22
"May 14, 2022","Las Vegas, Nevada, USA",win,Virna Jandiroba,Angela Hill,0,0,14,21,3,1,0,0,Women's Strawweight,U-DEC,,3,5:00
"May 14, 2022","Las Vegas, Nevada, USA",win,Tatsuro Taira,Carlos Candelario,1,0,57,9,1,2,3,1,Flyweight,U-DEC,,3,5:00
"May 14, 2022","Las Vegas, Nevada, USA",win,Andre Petroski,Nick Maximov,0,0,1,4,0,0,1,0,Middleweight,SUB,Anaconda Choke,1,1:16
