Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 23, 2019","Prague, Czech Republic",win,Thiago Santos,Jan Blachowicz,1,0,52,20,1,0,0,0,Light Heavyweight,KO/TKO,Punch,3,0:39
"February 23, 2019","Prague, Czech Republic",win,Stefan Struve,Marcos Rogerio de Lima,0,1,0,25,1,0,1,0,Heavyweight,SUB,Arm Triangle,2,2:21
"February 23, 2019","Prague, Czech Republic",win,Michal Oleksiejczuk,Gian Villante,1,0,14,9,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:34
"February 23, 2019","Prague, Czech Republic",win,Liz Carmouche,Lucie Pudilova,0,0,14,33,3,0,2,2,Women's Flyweight,U-DEC,,3,5:00
"February 23, 2019","Prague, Czech Republic",win,Petr Yan,John Dodson,0,1,80,30,2,2,0,0,Bantamweight,U-DEC,,3,5:00
"February 23, 2019","Prague, Czech Republic",win,Magomed Ankalaev,Klidson Abreu,1,0,30,23,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 23, 2019","Prague, Czech Republic",win,Dwight Grant,Carlo Pedersoli Jr.,1,0,20,17,0,1,0,0,Welterweight,KO/TKO,Punch,1,4:59
"February 23, 2019","Prague, Czech Republic",win,Chris Fishgold,Daniel Teymur,0,0,14,17,5,1,2,0,Featherweight,SUB,Rear Naked Choke,2,1:10
"February 23, 2019","Prague, Czech Republic",win,Gillian Robertson,Veronica Hardy,0,0,5,23,2,1,1,0,Women's Flyweight,SUB,Rear Naked Choke,2,3:27
"February 23, 2019","Prague, Czech Republic",win,Damir Hadzovic,Marco Polo Reyes,0,0,58,24,2,0,0,0,Lightweight,KO/TKO,Punches,2,2:03
"February 23, 2019","Prague, Czech Republic",win,Ismail Naurdiev,Michel Prazeres,0,0,63,15,0,3,1,0,Welterweight,U-DEC,,3,5:00
"February 23, 2019","Prague, Czech Republic",win,Diego Ferreira,Rustam Khabilov,0,0,83,43,0,3,1,0,Lightweight,U-DEC,,3,5:00
"February 23, 2019","Prague, Czech Republic",win,Damir Ismagulov,Joel Alvarez,0,0,64,38,0,0,0,0,Lightweight,U-DEC,,3,5:00
