Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 05, 2011","Las Vegas, Nevada, USA",win,Anderson Silva,Vitor Belfort,1,0,6,6,0,0,0,0,Middleweight,KO/TKO,Kick,1,3:25
"February 05, 2011","Las Vegas, Nevada, USA",win,Forrest Griffin,Rich Franklin,0,0,50,33,5,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 05, 2011","Las Vegas, Nevada, USA",win,Jon Jones,Ryan Bader,0,0,20,5,2,0,3,0,Light Heavyweight,SUB,Guillotine Choke,2,4:20
"February 05, 2011","Las Vegas, Nevada, USA",win,Jake Ellenberger,Carlos Eduardo Rocha,0,0,25,21,3,0,0,2,Welterweight,S-DEC,,3,5:00
"February 05, 2011","Las Vegas, Nevada, USA",win,Miguel Torres,Antonio Banuelos,0,0,73,10,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"February 05, 2011","Las Vegas, Nevada, USA",win,Donald Cerrone,Paul Kelly,0,0,37,22,3,0,1,2,Lightweight,SUB,Rear Naked Choke,2,3:48
"February 05, 2011","Las Vegas, Nevada, USA",win,Chad Mendes,Michihiro Omigawa,0,0,56,18,4,0,0,2,Featherweight,U-DEC,,3,5:00
"February 05, 2011","Las Vegas, Nevada, USA",win,Demetrious Johnson,Norifumi Yamamoto,0,0,38,16,10,0,0,0,Bantamweight,U-DEC,,3,5:00
"February 05, 2011","Las Vegas, Nevada, USA",win,Paul Taylor,Gabe Ruediger,1,0,37,17,0,0,0,0,Lightweight,KO/TKO,Kick,2,1:42
"February 05, 2011","Las Vegas, Nevada, USA",win,Kyle Kingsbury,Ricardo Romero,1,0,9,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:21
"February 05, 2011","Las Vegas, Nevada, USA",win,Mike Pierce,Kenny Robertson,1,0,19,12,2,0,1,0,Welterweight,KO/TKO,Punches,2,0:29
