Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Gegard Mousasi,Uriah Hall,0,0,20,12,1,0,0,0,Middleweight,KO/TKO,Punches,1,4:37
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Stevie Ray,Ross Pearson,0,0,49,38,1,0,0,0,Lightweight,S-DEC,,3,5:00
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Alexander Volkov,Timothy Johnson,0,1,45,43,1,1,0,0,Heavyweight,S-DEC,,3,5:00
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Artem Lobov,Teruto Ishihara,0,1,82,48,1,0,0,0,Featherweight,U-DEC,,3,5:00
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Jack Marshman,Magnus Cedenblad,2,0,42,36,0,3,0,0,Middleweight,KO/TKO,Punch,2,3:40
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Kyoji Horiguchi,Ali Bagautinov,0,0,55,36,4,2,0,0,Flyweight,U-DEC,,3,5:00
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Kevin Lee,Magomed Mustafaev,0,0,20,20,7,0,2,1,Lightweight,SUB,Rear Naked Choke,2,4:31
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Amanda Cooper,Anna Elmose,0,1,69,63,2,0,1,0,Women's Strawweight,U-DEC,,3,5:00
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Justin Ledet,Mark Godbeer,0,0,3,5,1,0,1,0,Heavyweight,SUB,Rear Naked Choke,1,2:16
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Zak Cummings,Alexander Yakovlev,0,0,24,18,0,1,1,0,Welterweight,SUB,Armbar,2,4:02
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Marion Reneau,Milana Dudieva,0,0,48,17,1,2,1,0,Women's Bantamweight,KO/TKO,Elbows,3,3:03
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Brett Johns,Kwan Ho Kwak,0,0,49,53,11,0,0,0,Bantamweight,U-DEC,,3,5:00
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",win,Abdul Razak Alhassan,Charlie Ward,3,0,12,2,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:53
