Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 19, 2024","Las Vegas, Nevada, USA",win,Anthony Hernandez,Michel Pereira,0,0,152,24,10,0,0,1,Middleweight,KO/TKO,Elbows,5,2:22
"October 19, 2024","Las Vegas, Nevada, USA",win,Rob Font,Kyler Phillips,0,0,61,38,0,4,0,0,Bantamweight,U-DEC,,3,5:00
"October 19, 2024","Las Vegas, Nevada, USA",win,Charles Johnson,Sumudaerji,1,0,65,75,2,0,0,2,Flyweight,U-DEC,,3,5:00
"October 19, 2024","Las Vegas, Nevada, USA",win,Cameron Smotherman,Jake Hadley,0,0,96,60,0,1,0,0,Bantamweight,U-DEC,,3,5:00
"October 19, 2024","Las Vegas, Nevada, USA",win,Darren Elkins,Daniel Pineda,0,0,39,31,3,0,0,2,Featherweight,U-DEC,,3,5:00
"October 19, 2024","Las Vegas, Nevada, USA",win,Asu Almabayev,Matheus Nicolau,1,0,22,16,1,0,0,1,Flyweight,U-DEC,,3,5:00
"October 19, 2024","Las Vegas, Nevada, USA",win,Jean Matsumoto,Brad Katona,0,0,89,89,1,3,0,0,Bantamweight,U-DEC,,3,5:00
"October 19, 2024","Las Vegas, Nevada, USA",win,Joselyne Edwards,Tamires Vidal,0,0,81,34,4,0,2,0,Women's Bantamweight,SUB,Rear Naked Choke,3,4:33
"October 19, 2024","Las Vegas, Nevada, USA",win,Elise Reed,Jessica Penne,0,0,117,54,0,1,0,0,Women's Strawweight,U-DEC,,3,5:00
"October 19, 2024","Las Vegas, Nevada, USA",win,Melissa Martinez,Alice Ardelean,0,0,72,92,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"October 19, 2024","Las Vegas, Nevada, USA",win,Austen Lane,Robelis Despaigne,0,0,23,31,3,0,0,0,Heavyweight,U-DEC,,3,5:00
