Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 18, 2019","Rochester, New York, USA",win,Rafael Dos Anjos,Kevin Lee,0,0,60,35,4,6,1,0,Welterweight,SUB,Arm Triangle,4,3:47
"May 18, 2019","Rochester, New York, USA",win,Ian Heinisch,Antonio Carlos Junior,0,0,39,15,1,4,0,0,Middleweight,U-DEC,,3,5:00
"May 18, 2019","Rochester, New York, USA",win,Felicia Spencer,Megan Anderson,0,0,22,3,1,0,1,0,Women's Featherweight,SUB,Rear Naked Choke,1,3:24
"May 18, 2019","Rochester, New York, USA",win,Vicente Luque,Derrick Krantz,1,0,18,6,0,1,0,0,Welterweight,KO/TKO,Punch,1,3:52
"May 18, 2019","Rochester, New York, USA",win,Charles Oliveira,Nik Lentz,1,0,38,18,0,2,1,0,Lightweight,KO/TKO,Punch,2,2:11
"May 18, 2019","Rochester, New York, USA",win,Davi Ramos,Austin Hubbard,0,0,63,44,3,0,0,0,Lightweight,U-DEC,,3,5:00
"May 18, 2019","Rochester, New York, USA",win,Aspen Ladd,Sijara Eubanks,0,0,69,77,3,2,3,0,Women's Bantamweight,U-DEC,,3,5:00
"May 18, 2019","Rochester, New York, USA",win,Desmond Green,Charles Jourdain,0,0,78,55,4,0,0,0,Lightweight,U-DEC,,3,5:00
"May 18, 2019","Rochester, New York, USA",win,Michel Pereira,Danny Roberts,1,0,6,2,0,0,0,0,Welterweight,KO/TKO,Flying Knee,1,1:47
"May 18, 2019","Rochester, New York, USA",win,Grant Dawson,Michael Trizano,0,0,27,20,3,0,1,0,Featherweight,SUB,Rear Naked Choke,2,2:27
"May 18, 2019","Rochester, New York, USA",win,Ed Herman,Patrick Cummins,1,0,11,22,0,1,0,0,Light Heavyweight,KO/TKO,Knee,1,3:39
"May 18, 2019","Rochester, New York, USA",win,Zak Cummings,Trevin Giles,1,0,34,31,0,0,1,0,Middleweight,SUB,Guillotine Choke,3,4:01
"May 18, 2019","Rochester, New York, USA",win,Julio Arce,Julian Erosa,1,0,74,43,1,0,0,0,Featherweight,KO/TKO,Kick,3,1:49
