Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 06, 2019","Las Vegas, Nevada, USA",win,Jon Jones,Thiago Santos,0,0,59,43,0,0,0,0,Light Heavyweight,S-DEC,,5,5:00
"July 06, 2019","Las Vegas, Nevada, USA",win,Amanda Nunes,Holly Holm,1,0,17,11,0,0,0,0,Women's Bantamweight,KO/TKO,Kick,1,4:10
"July 06, 2019","Las Vegas, Nevada, USA",win,Jorge Masvidal,Ben Askren,1,0,3,0,0,0,0,0,Welterweight,KO/TKO,Flying Knee,1,0:05
"July 06, 2019","Las Vegas, Nevada, USA",win,Jan Blachowicz,Luke Rockhold,1,0,30,14,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,1:39
"July 06, 2019","Las Vegas, Nevada, USA",win,Michael Chiesa,Diego Sanchez,0,0,47,7,5,1,0,0,Welterweight,U-DEC,,3,5:00
"July 06, 2019","Las Vegas, Nevada, USA",win,Arnold Allen,Gilbert Melendez,0,0,102,23,1,0,0,0,Featherweight,U-DEC,,3,5:00
"July 06, 2019","Las Vegas, Nevada, USA",win,Marlon Vera,Nohelin Hernandez,0,0,10,22,1,1,1,0,Bantamweight,SUB,Rear Naked Choke,2,3:25
"July 06, 2019","Las Vegas, Nevada, USA",win,Claudia Gadelha,Randa Markos,0,0,40,25,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"July 06, 2019","Las Vegas, Nevada, USA",win,Song Yadong,Alejandro Perez,1,0,8,1,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:04
"July 06, 2019","Las Vegas, Nevada, USA",win,Edmen Shahbazyan,Jack Marshman,0,0,13,0,1,0,1,0,Middleweight,SUB,Rear Naked Choke,1,1:12
"July 06, 2019","Las Vegas, Nevada, USA",win,Chance Rencountre,Ismail Naurdiev,0,0,4,21,2,2,0,0,Welterweight,U-DEC,,3,5:00
"July 06, 2019","Las Vegas, Nevada, USA",win,Julia Avila,Pannie Kianzad,1,0,49,33,0,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
