Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 10, 2011","Toronto, Ontario, Canada",win,Jon Jones,Lyoto Machida,1,0,24,13,1,0,1,0,Light Heavyweight,SUB,Guillotine Choke,2,4:26
"December 10, 2011","Toronto, Ontario, Canada",win,Frank Mir,Antonio Rodrigo Nogueira,0,0,6,21,1,0,1,1,Heavyweight,SUB,Kimura,1,3:38
"December 10, 2011","Toronto, Ontario, Canada",win,Rogerio Nogueira,Tito Ortiz,1,0,54,9,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,3:15
"December 10, 2011","Toronto, Ontario, Canada",win,Brian Ebersole,Claude Patrick,0,0,23,28,2,0,0,3,Welterweight,S-DEC,,3,5:00
"December 10, 2011","Toronto, Ontario, Canada",win,Chan Sung Jung,Mark Hominick,1,0,6,0,0,0,0,0,Featherweight,KO/TKO,Punch,1,0:07
"December 10, 2011","Toronto, Ontario, Canada",win,Igor Pokrajac,Krzysztof Soszynski,1,0,21,4,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:35
"December 10, 2011","Toronto, Ontario, Canada",win,Constantinos Philippou,Jared Hamman,3,0,21,9,1,0,1,0,Middleweight,KO/TKO,Punches,1,3:11
"December 10, 2011","Toronto, Ontario, Canada",win,Dennis Hallman,John Makdessi,0,0,20,0,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,2:58
"December 10, 2011","Toronto, Ontario, Canada",win,Yves Jabouin,Walel Watson,0,0,33,47,2,0,0,2,Bantamweight,S-DEC,,3,5:00
"December 10, 2011","Toronto, Ontario, Canada",win,Mark Bocek,Nik Lentz,0,0,46,10,5,0,0,3,Lightweight,U-DEC,,3,5:00
"December 10, 2011","Toronto, Ontario, Canada",win,Jake Hecht,Rich Attonito,0,0,33,17,0,1,0,0,Welterweight,KO/TKO,Elbows,2,1:10
"December 10, 2011","Toronto, Ontario, Canada",win,John Cholish,Mitch Clarke,0,0,55,17,1,0,0,0,Lightweight,KO/TKO,Punches,2,4:36
