Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 06, 2021","Las Vegas, Nevada, USA",win,Jan Blachowicz,Israel Adesanya,0,0,107,78,3,0,0,0,Light Heavyweight,U-DEC,,5,5:00
"March 06, 2021","Las Vegas, Nevada, USA",win,Amanda Nunes,Megan Anderson,0,0,18,2,0,0,2,0,Women's Featherweight,SUB,Triangle Armbar,1,2:03
"March 06, 2021","Las Vegas, Nevada, USA",win,Aljamain Sterling,Petr Yan,0,1,97,86,1,7,0,0,Bantamweight,DQ,,4,4:29
"March 06, 2021","Las Vegas, Nevada, USA",win,Islam Makhachev,Drew Dober,0,0,15,10,3,0,2,0,Lightweight,SUB,Arm Triangle,3,1:37
"March 06, 2021","Las Vegas, Nevada, USA",win,Aleksandar Rakic,Thiago Santos,0,0,36,49,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"March 06, 2021","Las Vegas, Nevada, USA",win,Dominick Cruz,Casey Kenney,0,0,89,74,2,0,0,0,Bantamweight,S-DEC,,3,5:00
"March 06, 2021","Las Vegas, Nevada, USA",win,Kyler Phillips,Song Yadong,0,0,59,67,3,0,0,0,Bantamweight,U-DEC,,3,5:00
"March 06, 2021","Las Vegas, Nevada, USA",win,Askar Askarov,Joseph Benavidez,0,0,58,46,5,0,0,0,Flyweight,U-DEC,,3,5:00
"March 06, 2021","Las Vegas, Nevada, USA",win,Kai Kara-France,Rogerio Bontorin,1,0,13,6,0,1,0,2,Flyweight,KO/TKO,Punch,1,4:55
"March 06, 2021","Las Vegas, Nevada, USA",win,Tim Elliott,Jordan Espinosa,0,0,25,13,4,0,0,0,Flyweight,U-DEC,,3,5:00
"March 06, 2021","Las Vegas, Nevada, USA",win,Kennedy Nzechukwu,Carlos Ulberg,1,0,82,146,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,3:19
"March 06, 2021","Las Vegas, Nevada, USA",win,Sean Brady,Jake Matthews,0,0,37,21,1,0,1,0,Welterweight,SUB,Arm Triangle,3,3:28
"March 06, 2021","Las Vegas, Nevada, USA",win,Amanda Lemos,Livinha Souza,2,0,29,1,0,0,0,0,Women's Strawweight,KO/TKO,Punch,1,3:39
"March 06, 2021","Las Vegas, Nevada, USA",win,Uros Medic,Aalon Cruz,1,0,45,0,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:40
"March 06, 2021","Las Vegas, Nevada, USA",win,Trevin Jones,Mario Bautista,1,0,23,21,0,0,0,0,Bantamweight,KO/TKO,Punch,2,0:47
