Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 01, 2024","Newark, New Jersey, USA",win,Islam Makhachev,Dustin Poirier,0,0,88,74,5,0,2,0,Lightweight,SUB,D'Arce Choke,5,2:42
"June 01, 2024","Newark, New Jersey, USA",win,Sean Strickland,Paulo Costa,0,0,182,158,0,0,0,0,Middleweight,S-DEC,,5,5:00
"June 01, 2024","Newark, New Jersey, USA",win,Kevin Holland,Michal Oleksiejczuk,0,0,8,8,0,0,1,0,Middleweight,SUB,Armbar,1,1:34
"June 01, 2024","Newark, New Jersey, USA",win,Niko Price,Alex Morono,0,0,108,96,5,1,0,0,Welterweight,U-DEC,,3,5:00
"June 01, 2024","Newark, New Jersey, USA",win,Randy Brown,Elizeu Zaleski dos Santos,0,0,67,26,0,4,2,1,Welterweight,U-DEC,,3,5:00
"June 01, 2024","Newark, New Jersey, USA",win,Roman Kopylov,Cesar Almeida,1,0,41,58,5,0,0,0,Middleweight,S-DEC,,3,5:00
"June 01, 2024","Newark, New Jersey, USA",win,Jailton Almeida,Alexandr Romanov,0,0,1,1,1,0,2,0,Heavyweight,SUB,Rear Naked Choke,1,2:27
"June 01, 2024","Newark, New Jersey, USA",win,Grant Dawson,Joe Solecki,0,0,46,12,3,0,0,1,Lightweight,U-DEC,,3,5:00
"June 01, 2024","Newark, New Jersey, USA",win,Jake Matthews,Phil Rowe,0,0,66,34,1,0,0,0,Welterweight,U-DEC,,3,5:00
"June 01, 2024","Newark, New Jersey, USA",win,Bassil Hafez,Mickey Gall,0,0,95,83,3,1,0,0,Welterweight,U-DEC,,3,5:00
"June 01, 2024","Newark, New Jersey, USA",win,Ailin Perez,Joselyne Edwards,1,0,42,27,6,0,0,1,Women's Bantamweight,U-DEC,,3,5:00
"June 01, 2024","Newark, New Jersey, USA",win,Andre Lima,Mitch Raposo,0,0,51,32,0,1,0,0,Flyweight,S-DEC,,3,5:00
