Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 05, 2023","Nashville, Tennessee, USA",win,Cory Sandhagen,Rob Font,0,0,34,9,7,1,1,0,Catch Weight,U-DEC,,5,5:00
"August 05, 2023","Nashville, Tennessee, USA",win,Tatiana Suarez,Jessica Andrade,0,0,23,11,3,0,1,0,Women's Strawweight,SUB,Guillotine Choke,2,1:31
"August 05, 2023","Nashville, Tennessee, USA",win,Dustin Jacoby,Kennedy Nzechukwu,1,0,10,4,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:22
"August 05, 2023","Nashville, Tennessee, USA",win,Diego Lopes,Gavin Tucker,0,0,0,0,0,1,3,0,Featherweight,SUB,Triangle Armbar,1,1:38
"August 05, 2023","Nashville, Tennessee, USA",win,Tanner Boser,Aleksa Camur,0,0,120,68,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"August 05, 2023","Nashville, Tennessee, USA",win,Ludovit Klein,Ignacio Bahamondes,0,0,56,43,3,0,0,0,Lightweight,U-DEC,,3,5:00
"August 05, 2023","Nashville, Tennessee, USA",win,Kyler Phillips,Raoni Barcelos,1,0,72,46,1,3,0,0,Bantamweight,U-DEC,,3,5:00
"August 05, 2023","Nashville, Tennessee, USA",win,Carlston Harris,Jeremiah Wells,0,0,5,18,0,3,1,2,Welterweight,SUB,Anaconda Choke,3,1:50
"August 05, 2023","Nashville, Tennessee, USA",win,Billy Quarantillo,Damon Jackson,0,0,100,67,0,3,1,0,Featherweight,U-DEC,,3,5:00
"August 05, 2023","Nashville, Tennessee, USA",win,Cody Durden,Jake Hadley,0,0,38,26,4,0,1,3,Flyweight,U-DEC,,3,5:00
"August 05, 2023","Nashville, Tennessee, USA",win,Sean Woodson,Dennis Buzukja,0,0,71,42,4,0,0,0,Featherweight,U-DEC,,3,5:00
"August 05, 2023","Nashville, Tennessee, USA",win,Asu Almabayev,Ode Osbourne,0,0,26,4,2,0,2,0,Flyweight,SUB,Rear Naked Choke,2,3:11
